[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://2w-polska.pl                                                                                 | ✓ | ⏱: 2.93s 
[SCRAPE].. ◆ https://2w-polska.pl                                                                                 | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://2w-polska.pl                                                                                 | ✓ | ⏱: 4.96s 
[FETCH]... ↓ https://2w-polska.pl/o-firmie/                                                                       | ✓ | ⏱: 2.82s 
[SCRAPE].. ◆ https://2w-polska.pl/o-firmie/                                                                       | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://2w-polska.pl/o-firmie/                                                                       | ✓ | ⏱: 4.80s 
[FETCH]... ↓ https://2w-polska.pl/onsystem-technic/                                                               | ✓ | ⏱: 3.24s 
[SCRAPE].. ◆ https://2w-polska.pl/onsystem-technic/                                                               | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://2w-polska.pl/onsystem-technic/                                                               | ✓ | ⏱: 4.81s 
[FETCH]... ↓ https://2w-polska.pl/kontakt/                                                                        | ✓ | ⏱: 3.64s 
[SCRAPE].. ◆ https://2w-polska.pl/kontakt/                                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://2w-polska.pl/kontakt/                                                                        | ✓ | ⏱: 5.66s 
[FETCH]... ↓ https://2w-polska.pl/presta-products/                                                                | ✓ | ⏱: 1.21s 
[SCRAPE].. ◆ https://2w-polska.pl/presta-products/                                                                | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://2w-polska.pl/presta-products/                                                                | ✓ | ⏱: 1.23s 
[FETCH]... ↓ https://2w-polska.pl/unic/                                                                           | ✓ | ⏱: 1.27s 
[SCRAPE].. ◆ https://2w-polska.pl/unic/                                                                           | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://2w-polska.pl/unic/                                                                           | ✓ | ⏱: 1.29s 
/Users/acelerzbw/Documents/Codex/2026-08-13/crm-twenty-postgresql/key-person-discovery/outputs/batch-20260815/2w-sp-z-o-o-1ac474a4dff4.json
