[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://haynesintl.com/en/acerinox-group                                                             | ✓ | ⏱: 3.96s 
[SCRAPE].. ◆ https://haynesintl.com/en/acerinox-group                                                             | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://haynesintl.com/en/acerinox-group                                                             | ✓ | ⏱: 4.75s 
[FETCH]... ↓ https://www.acerinox.com/en/accionistas-e-invers...t-del-inversor/atencion-al-accionista/index.html  | ✓ | ⏱: 3.46s 
[SCRAPE].. ◆ https://www.acerinox.com/en/accionistas-e-invers...t-del-inversor/atencion-al-accionista/index.html  | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://www.acerinox.com/en/accionistas-e-invers...t-del-inversor/atencion-al-accionista/index.html  | ✓ | ⏱: 4.46s 
[FETCH]... ↓ https://www.acerinox.com/en/accionistas-e-invers...el-inversor/Acerinox-Results-Second-Quarter-2025  | ✓ | ⏱: 3.87s 
[SCRAPE].. ◆ https://www.acerinox.com/en/accionistas-e-invers...el-inversor/Acerinox-Results-Second-Quarter-2025  | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://www.acerinox.com/en/accionistas-e-invers...el-inversor/Acerinox-Results-Second-Quarter-2025  | ✓ | ⏱: 4.86s 
[FETCH]... ↓ http://www.acerinox.com                                                                              | ✓ | ⏱: 3.66s 
[SCRAPE].. ◆ http://www.acerinox.com                                                                              | ✓ | ⏱: 0.00s 
[COMPLETE] ● http://www.acerinox.com                                                                              | ✓ | ⏱: 5.26s 
[FETCH]... ↓ https://www.acerinox.com/en/acerinox/fabricas/acerinox-sa                                            | ✓ | ⏱: 1.19s 
[SCRAPE].. ◆ https://www.acerinox.com/en/acerinox/fabricas/acerinox-sa                                            | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://www.acerinox.com/en/acerinox/fabricas/acerinox-sa                                            | ✓ | ⏱: 1.20s 
[FETCH]... ↓ https://www.acerinox.com/en/acerinox/fabricas/columbus-stainless/                                    | ✓ | ⏱: 2.03s 
[SCRAPE].. ◆ https://www.acerinox.com/en/acerinox/fabricas/columbus-stainless/                                    | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://www.acerinox.com/en/acerinox/fabricas/columbus-stainless/                                    | ✓ | ⏱: 2.04s 
[FETCH]... ↓ https://www.acerinox.com/en/acerinox/quienes-somos/comite-de-direccion                               | ✓ | ⏱: 1.98s 
[SCRAPE].. ◆ https://www.acerinox.com/en/acerinox/quienes-somos/comite-de-direccion                               | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://www.acerinox.com/en/acerinox/quienes-somos/comite-de-direccion                               | ✓ | ⏱: 1.99s 
