[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://www.ahmsa.com                                                                                | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.ahmsa.com                                                                                | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.ahmsa.com/sobre-ahmsa/aviso-de-fraud...-vende-ni-oferta-sus-productos-por-internet.html  | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://www.ahmsa.com/sobre-ahmsa/aviso-de-fraud...-vende-ni-oferta-sus-productos-por-internet.html  | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.ahmsa.com/sobre-ahmsa/aviso-de-fraude/ahmsa-no-vende-varilla-ni-tubos.html               | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.ahmsa.com/sobre-ahmsa/aviso-de-fraude/ahmsa-no-vende-varilla-ni-tubos.html               | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.ahmsa.com/sobre-ahmsa/aviso-de-fraude.html                                               | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.ahmsa.com/sobre-ahmsa/aviso-de-fraude.html                                               | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.ahmsa.com/sobre-ahmsa/                                                                   | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.ahmsa.com/sobre-ahmsa/                                                                   | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.ahmsa.com/sobre-ahmsa/proceso-del-acero/                                                 | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.ahmsa.com/sobre-ahmsa/proceso-del-acero/                                                 | ✓ | ⏱: 0.02s 
[FETCH]... ↓ https://www.ahmsa.com/sobre-ahmsa/nuestra-razon-de-ser.html                                          | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://www.ahmsa.com/sobre-ahmsa/nuestra-razon-de-ser.html                                          | ✓ | ⏱: 0.02s 
[FETCH]... ↓ https://www.ahmsa.com/sobre-ahmsa/nuestra-historia/                                                  | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://www.ahmsa.com/sobre-ahmsa/nuestra-historia/                                                  | ✓ | ⏱: 0.02s 
[FETCH]... ↓ https://www.ahmsa.com/sobre-ahmsa/calidad-e-innovacion/certificaciones-y-reconocimientos/            | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://www.ahmsa.com/sobre-ahmsa/calidad-e-innovacion/certificaciones-y-reconocimientos/            | ✓ | ⏱: 0.02s 
[FETCH]... ↓ https://www.ahmsa.com/sobre-ahmsa/ubicacion/instalaciones.html                                       | ✓ | ⏱: 0.02s 
