[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://www.americansteelcastings.com/capabilities                                                   | ✓ | ⏱: 2.87s 
[SCRAPE].. ◆ https://www.americansteelcastings.com/capabilities                                                   | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.americansteelcastings.com/capabilities                                                   | ✓ | ⏱: 4.06s 
[FETCH]... ↓ https://www.americansteelcastings.com/                                                               | ✓ | ⏱: 2.41s 
[SCRAPE].. ◆ https://www.americansteelcastings.com/                                                               | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.americansteelcastings.com/                                                               | ✓ | ⏱: 4.43s 
[FETCH]... ↓ https://www.americansteelcastings.com/certifications-memberships                                     | ✓ | ⏱: 2.56s 
[SCRAPE].. ◆ https://www.americansteelcastings.com/certifications-memberships                                     | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.americansteelcastings.com/certifications-memberships                                     | ✓ | ⏱: 4.58s 
[FETCH]... ↓ https://americansteelcastings.com                                                                    | ✓ | ⏱: 3.14s 
[SCRAPE].. ◆ https://americansteelcastings.com                                                                    | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://americansteelcastings.com                                                                    | ✓ | ⏱: 5.16s 
[FETCH]... ↓ https://www.americansteelcastings.com/contact                                                        | ✓ | ⏱: 1.06s 
[SCRAPE].. ◆ https://www.americansteelcastings.com/contact                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.americansteelcastings.com/contact                                                        | ✓ | ⏱: 1.07s 
[FETCH]... ↓ https://www.americansteelcastings.com/industries                                                     | ✓ | ⏱: 1.15s 
[SCRAPE].. ◆ https://www.americansteelcastings.com/industries                                                     | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.americansteelcastings.com/industries                                                     | ✓ | ⏱: 1.17s 
[FETCH]... ↓ https://www.americansteelcastings.com/request-a-quote                                                | ✓ | ⏱: 1.25s 
[SCRAPE].. ◆ https://www.americansteelcastings.com/request-a-quote                                                | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.americansteelcastings.com/request-a-quote                                                | ✓ | ⏱: 1.27s 
[FETCH]... ↓ https://www.americansteelcastings.com/jobs                                                           | ✓ | ⏱: 1.74s 
[SCRAPE].. ◆ https://www.americansteelcastings.com/jobs                                                           | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.americansteelcastings.com/jobs                                                           | ✓ | ⏱: 1.75s 
[FETCH]... ↓ https://www.americansteelcastings.com/why-asc                                                        | ✓ | ⏱: 1.45s 
[SCRAPE].. ◆ https://www.americansteelcastings.com/why-asc                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.americansteelcastings.com/why-asc                                                        | ✓ | ⏱: 1.47s 
/Users/acelerzbw/Documents/Codex/2026-08-13/crm-twenty-postgresql/key-person-discovery/outputs/batch-20260815/american-steel-castings-f3a55e2ea8d7.json
