[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://baredessa.com.ar/web/en/aboutus                                                              | ✓ | ⏱: 4.67s 
[SCRAPE].. ◆ https://baredessa.com.ar/web/en/aboutus                                                              | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://baredessa.com.ar/web/en/aboutus                                                              | ✓ | ⏱: 6.69s 
[FETCH]... ↓ http://baredessa.com.ar/web/en                                                                       | ✓ | ⏱: 6.72s 
[SCRAPE].. ◆ http://baredessa.com.ar/web/en                                                                       | ✓ | ⏱: 0.01s 
[COMPLETE] ● http://baredessa.com.ar/web/en                                                                       | ✓ | ⏱: 8.74s 
[FETCH]... ↓ https://baredessa.com.ar/                                                                            | ✓ | ⏱: 6.74s 
[SCRAPE].. ◆ https://baredessa.com.ar/                                                                            | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://baredessa.com.ar/                                                                            | ✓ | ⏱: 8.75s 
[FETCH]... ↓ http://baredessa.com.ar                                                                              | ✓ | ⏱: 6.99s 
[SCRAPE].. ◆ http://baredessa.com.ar                                                                              | ✓ | ⏱: 0.01s 
[COMPLETE] ● http://baredessa.com.ar                                                                              | ✓ | ⏱: 9.01s 
[FETCH]... ↓ https://baredessa.com.ar/web/en/contact                                                              | ✓ | ⏱: 2.01s 
[SCRAPE].. ◆ https://baredessa.com.ar/web/en/contact                                                              | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://baredessa.com.ar/web/en/contact                                                              | ✓ | ⏱: 4.02s 
[FETCH]... ↓ https://www.aihitdata.com/company/00541CB7/baredes/contacts                                          | ✓ | ⏱: 1.68s 
[SCRAPE].. ◆ https://www.aihitdata.com/company/00541CB7/baredes/contacts                                          | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.aihitdata.com/company/00541CB7/baredes/contacts                                          | ✓ | ⏱: 3.70s 
[FETCH]... ↓ https://baredessa.com.ar/web/en/markets                                                              | ✓ | ⏱: 1.86s 
[SCRAPE].. ◆ https://baredessa.com.ar/web/en/markets                                                              | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://baredessa.com.ar/web/en/markets                                                              | ✓ | ⏱: 3.88s 
[FETCH]... ↓ https://baredessa.com.ar/web/en/technology                                                           | ✓ | ⏱: 2.72s 
[SCRAPE].. ◆ https://baredessa.com.ar/web/en/technology                                                           | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://baredessa.com.ar/web/en/technology                                                           | ✓ | ⏱: 4.75s 
[FETCH]... ↓ https://www.comxport.com/co/baredes_sa-argentina-662.php                                             | ✓ | ⏱: 2.23s 
