[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://baodauthau.vn/cong-ty-tnhh-mot-thanh-vien-thep-mien-nam-vnsteel-thong-bao-post158898.html    | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://baodauthau.vn/cong-ty-tnhh-mot-thanh-vien-thep-mien-nam-vnsteel-thong-bao-post158898.html    | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.thepmiennam.com.vn                                                                       | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.thepmiennam.com.vn                                                                       | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.vnsteel.vn/don-vi-thanh-vien/cong-ty-tnhh-mtv-thep-mien-nam-vnsteel-5203.html            | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://www.vnsteel.vn/don-vi-thanh-vien/cong-ty-tnhh-mtv-thep-mien-nam-vnsteel-5203.html            | ✓ | ⏱: 0.00s 
[FETCH]... ↓ https://www.thepmiennam.com.vn/en-US/Default.aspx                                                    | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.thepmiennam.com.vn/en-US/Default.aspx                                                    | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.thepmiennam.com.vn/en-US/default.aspx                                                    | ✓ | ⏱: 3.55s 
[SCRAPE].. ◆ https://www.thepmiennam.com.vn/en-US/default.aspx                                                    | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.thepmiennam.com.vn/en-US/default.aspx                                                    | ✓ | ⏱: 5.58s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://www.thepmiennam.com.vn/en-US/contact-us                                                      | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.thepmiennam.com.vn/en-US/contact-us                                                      | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.thepmiennam.com.vn/en-US/introduction/company-introductions-pictures-video               | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.thepmiennam.com.vn/en-US/introduction/company-introductions-pictures-video               | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.thepmiennam.com.vn/en-US/introduction/certification-of-quality-management-system         | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.thepmiennam.com.vn/en-US/introduction/certification-of-quality-management-system         | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.thepmiennam.com.vn/en-US/internal/text-management-software                               | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.thepmiennam.com.vn/en-US/internal/text-management-software                               | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.thepmiennam.com.vn/en-US/contact-us/sign-up-for                                          | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.thepmiennam.com.vn/en-US/contact-us/sign-up-for                                          | ✓ | ⏱: 0.02s 
[FETCH]... ↓ https://www.thepmiennam.com.vn/en-US/news/recruitment                                                | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.thepmiennam.com.vn/en-US/news/recruitment                                                | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.thepmiennam.com.vn/en-US/news/picture-and-video                                          | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://www.thepmiennam.com.vn/en-US/news/picture-and-video                                          | ✓ | ⏱: 0.02s 
[FETCH]... ↓ https://www.thepmiennam.com.vn/en-US/news                                                            | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://www.thepmiennam.com.vn/en-US/news                                                            | ✓ | ⏱: 0.02s 
[FETCH]... ↓ https://www.thepmiennam.com.vn/en-US/news/company-news                                               | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://www.thepmiennam.com.vn/en-US/news/company-news                                               | ✓ | ⏱: 0.02s 
[FETCH]... ↓ https://www.thepmiennam.com.vn/en-US/news/steel-industry-news                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.thepmiennam.com.vn/en-US/news/steel-industry-news                                        | ✓ | ⏱: 0.01s 
/Users/acelerzbw/Documents/Codex/2026-08-13/crm-twenty-postgresql/key-person-discovery/outputs/batch-20260815/c-ng-ty-tnhh-m-t-th-nh-vi-n-th-p-mi-n-nam-vnsteel-cbac447ba80b.json
