[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://celmercelik.com/en/about-us/                                                                 | ✓ | ⏱: 12.47s 
[SCRAPE].. ◆ https://celmercelik.com/en/about-us/                                                                 | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://celmercelik.com/en/about-us/                                                                 | ✓ | ⏱: 14.50s 
[FETCH]... ↓ https://celmercelik.com/en/contact-us/                                                               | ✓ | ⏱: 12.49s 
[SCRAPE].. ◆ https://celmercelik.com/en/contact-us/                                                               | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://celmercelik.com/en/contact-us/                                                               | ✓ | ⏱: 14.52s 
[FETCH]... ↓ https://celmercelik.com                                                                              | ✓ | ⏱: 12.63s 
[SCRAPE].. ◆ https://celmercelik.com                                                                              | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://celmercelik.com                                                                              | ✓ | ⏱: 14.66s 
[FETCH]... ↓ https://celmercelik.com/en/our-international-sales-team-test/                                        | ✓ | ⏱: 12.54s 
[SCRAPE].. ◆ https://celmercelik.com/en/our-international-sales-team-test/                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://celmercelik.com/en/our-international-sales-team-test/                                        | ✓ | ⏱: 14.57s 
[FETCH]... ↓ https://celmercelik.com/en/our-international-sales-team/                                             | ✓ | ⏱: 1.70s 
[SCRAPE].. ◆ https://celmercelik.com/en/our-international-sales-team/                                             | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://celmercelik.com/en/our-international-sales-team/                                             | ✓ | ⏱: 3.58s 
[FETCH]... ↓ https://celmercelik.com/teams/nick-halen/                                                            | ✓ | ⏱: 1.76s 
[SCRAPE].. ◆ https://celmercelik.com/teams/nick-halen/                                                            | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://celmercelik.com/teams/nick-halen/                                                            | ✓ | ⏱: 3.79s 
[FETCH]... ↓ https://celmercelik.com/en/our-team/                                                                 | ✓ | ⏱: 1.79s 
[SCRAPE].. ◆ https://celmercelik.com/en/our-team/                                                                 | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://celmercelik.com/en/our-team/                                                                 | ✓ | ⏱: 3.82s 
[FETCH]... ↓ https://celmercelik.com/teams/courtney-henry/                                                        | ✓ | ⏱: 2.28s 
[SCRAPE].. ◆ https://celmercelik.com/teams/courtney-henry/                                                        | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://celmercelik.com/teams/courtney-henry/                                                        | ✓ | ⏱: 4.31s 
[FETCH]... ↓ https://www.listcompany.org/Cel_Mer_Steel_Industry_Info.html                                         | ✓ | ⏱: 1.76s 
