[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://rocketreach.co/ceram-austria-gmbh-management_b47fa0f3fc4bae7b                                | ✓ | ⏱: 1.16s 
[SCRAPE].. ◆ https://rocketreach.co/ceram-austria-gmbh-management_b47fa0f3fc4bae7b                                | ✓ | ⏱: 0.00s 
[ERROR]... × https://rocketreach.co/...gement_b47fa0f3fc4bae7b  | Error: Blocked by anti-bot protection: Cloudflare JS challenge 
[COMPLETE] ● https://rocketreach.co/ceram-austria-gmbh-management_b47fa0f3fc4bae7b                                | ✗ | ⏱: 1.16s 
[FETCH]... ↓ https://www.ceram-austria.com/en/                                                                    | ✓ | ⏱: 4.61s 
[SCRAPE].. ◆ https://www.ceram-austria.com/en/                                                                    | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.ceram-austria.com/en/                                                                    | ✓ | ⏱: 5.78s 
[FETCH]... ↓ https://www.ceram-austria.com                                                                        | ✓ | ⏱: 4.95s 
[SCRAPE].. ◆ https://www.ceram-austria.com                                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.ceram-austria.com                                                                        | ✓ | ⏱: 6.11s 
[FETCH]... ↓ https://www.ceram-austria.com/en/company/                                                            | ✓ | ⏱: 4.57s 
[SCRAPE].. ◆ https://www.ceram-austria.com/en/company/                                                            | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.ceram-austria.com/en/company/                                                            | ✓ | ⏱: 5.83s 
[FETCH]... ↓ https://www.ceram-austria.com/startschuss-fuer-team-ceram-austria-winter-run-graz-2024-2025/         | ✓ | ⏱: 2.22s 
[SCRAPE].. ◆ https://www.ceram-austria.com/startschuss-fuer-team-ceram-austria-winter-run-graz-2024-2025/         | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.ceram-austria.com/startschuss-fuer-team-ceram-austria-winter-run-graz-2024-2025/         | ✓ | ⏱: 2.24s 
[FETCH]... ↓ https://www.ceram-austria.com/team-ceram-austria-wieder-am-start/                                    | ✓ | ⏱: 1.89s 
[SCRAPE].. ◆ https://www.ceram-austria.com/team-ceram-austria-wieder-am-start/                                    | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.ceram-austria.com/team-ceram-austria-wieder-am-start/                                    | ✓ | ⏱: 1.91s 
[FETCH]... ↓ https://www.ceram-austria.com/newsroom/                                                              | ✓ | ⏱: 7.73s 
[SCRAPE].. ◆ https://www.ceram-austria.com/newsroom/                                                              | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.ceram-austria.com/newsroom/                                                              | ✓ | ⏱: 7.75s 
