[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://www.vinita.co.jp                                                                             | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.vinita.co.jp                                                                             | ✓ | ⏱: 0.01s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://www.vinita.co.jp/about/                                                                      | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.vinita.co.jp/about/                                                                      | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.vinita.co.jp/about/commitment/                                                           | ✓ | ⏱: 7.12s 
[SCRAPE].. ◆ https://www.vinita.co.jp/about/commitment/                                                           | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://www.vinita.co.jp/about/commitment/                                                           | ✓ | ⏱: 7.16s 
[FETCH]... ↓ https://www.vinita.co.jp/about/commitment/development_support/                                       | ✓ | ⏱: 7.15s 
[SCRAPE].. ◆ https://www.vinita.co.jp/about/commitment/development_support/                                       | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.vinita.co.jp/about/commitment/development_support/                                       | ✓ | ⏱: 7.18s 
[FETCH]... ↓ https://www.vinita.co.jp/about/commitment/manufacturing/                                             | ✓ | ⏱: 7.17s 
[SCRAPE].. ◆ https://www.vinita.co.jp/about/commitment/manufacturing/                                             | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.vinita.co.jp/about/commitment/manufacturing/                                             | ✓ | ⏱: 7.19s 
[FETCH]... ↓ https://www.vinita.co.jp/about/commitment/quality/                                                   | ✓ | ⏱: 7.19s 
[SCRAPE].. ◆ https://www.vinita.co.jp/about/commitment/quality/                                                   | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.vinita.co.jp/about/commitment/quality/                                                   | ✓ | ⏱: 7.21s 
[FETCH]... ↓ https://www.vinita.co.jp/about/commitment/support_care/                                              | ✓ | ⏱: 0.78s 
[SCRAPE].. ◆ https://www.vinita.co.jp/about/commitment/support_care/                                              | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.vinita.co.jp/about/commitment/support_care/                                              | ✓ | ⏱: 0.80s 
[FETCH]... ↓ https://www.vinita.co.jp/about/company/                                                              | ✓ | ⏱: 0.69s 
[SCRAPE].. ◆ https://www.vinita.co.jp/about/company/                                                              | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.vinita.co.jp/about/company/                                                              | ✓ | ⏱: 0.72s 
[FETCH]... ↓ https://www.vinita.co.jp/about/factory/                                                              | ✓ | ⏱: 0.72s 
[SCRAPE].. ◆ https://www.vinita.co.jp/about/factory/                                                              | ✓ | ⏱: 0.01s 
