[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://www.vinita.co.jp/news/detail/emd/                                                            | ✓ | ⏱: 8.50s 
[SCRAPE].. ◆ https://www.vinita.co.jp/news/detail/emd/                                                            | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.vinita.co.jp/news/detail/emd/                                                            | ✓ | ⏱: 9.33s 
[FETCH]... ↓ https://www.vinita.co.jp/news/detail/care_01/                                                        | ✓ | ⏱: 7.81s 
[SCRAPE].. ◆ https://www.vinita.co.jp/news/detail/care_01/                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.vinita.co.jp/news/detail/care_01/                                                        | ✓ | ⏱: 9.34s 
[FETCH]... ↓ https://www.vinita.co.jp/news/detail/care_02/                                                        | ✓ | ⏱: 8.56s 
[SCRAPE].. ◆ https://www.vinita.co.jp/news/detail/care_02/                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.vinita.co.jp/news/detail/care_02/                                                        | ✓ | ⏱: 9.36s 
[FETCH]... ↓ https://www.vinita.co.jp/news/detail/fooma_2023/                                                     | ✓ | ⏱: 1.09s 
[SCRAPE].. ◆ https://www.vinita.co.jp/news/detail/fooma_2023/                                                     | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.vinita.co.jp/news/detail/fooma_2023/                                                     | ✓ | ⏱: 1.11s 
[FETCH]... ↓ https://www.vinita.co.jp/news/detail/mono_2023/                                                      | ✓ | ⏱: 0.93s 
[SCRAPE].. ◆ https://www.vinita.co.jp/news/detail/mono_2023/                                                      | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.vinita.co.jp/news/detail/mono_2023/                                                      | ✓ | ⏱: 0.95s 
[FETCH]... ↓ https://www.vinita.co.jp/news/detail/ligna2023/                                                      | ✓ | ⏱: 1.52s 
[SCRAPE].. ◆ https://www.vinita.co.jp/news/detail/ligna2023/                                                      | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.vinita.co.jp/news/detail/ligna2023/                                                      | ✓ | ⏱: 1.55s 
[FETCH]... ↓ https://www.vinita.co.jp/news/detail/news20230118/                                                   | ✓ | ⏱: 0.93s 
[SCRAPE].. ◆ https://www.vinita.co.jp/news/detail/news20230118/                                                   | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.vinita.co.jp/news/detail/news20230118/                                                   | ✓ | ⏱: 0.95s 
[FETCH]... ↓ https://www.vinita.co.jp/news/detail/news20230711/                                                   | ✓ | ⏱: 0.94s 
[SCRAPE].. ◆ https://www.vinita.co.jp/news/detail/news20230711/                                                   | ✓ | ⏱: 0.01s 
