[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://www.mahamitr.com/ติดต่อเรา/650d6a316fa73b0013d22831                                          | ✓ | ⏱: 2.85s 
[SCRAPE].. ◆ https://www.mahamitr.com/ติดต่อเรา/650d6a316fa73b0013d22831                                          | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.mahamitr.com/ติดต่อเรา/650d6a316fa73b0013d22831                                          | ✓ | ⏱: 2.87s 
[FETCH]... ↓ https://www.mahamitr.com                                                                             | ✓ | ⏱: 3.26s 
[SCRAPE].. ◆ https://www.mahamitr.com                                                                             | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://www.mahamitr.com                                                                             | ✓ | ⏱: 3.69s 
[FETCH]... ↓ https://www.facebook.com/mahamitr/posts/-บริษัท-...ที่ไว้วางใจ-ให้ทางเราได้ดูแล-เ/1162221855910888/  | ✓ | ⏱: 2.07s 
[SCRAPE].. ◆ https://www.facebook.com/mahamitr/posts/-บริษัท-...ที่ไว้วางใจ-ให้ทางเราได้ดูแล-เ/1162221855910888/  | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://www.facebook.com/mahamitr/posts/-บริษัท-...ที่ไว้วางใจ-ให้ทางเราได้ดูแล-เ/1162221855910888/  | ✓ | ⏱: 4.11s 
[FETCH]... ↓ https://mail.mahamitr.com/                                                                           | ✓ | ⏱: 3.10s 
[SCRAPE].. ◆ https://mail.mahamitr.com/                                                                           | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://mail.mahamitr.com/                                                                           | ✓ | ⏱: 4.34s 
[FETCH]... ↓ https://www.mahamitr.com/รายละเอียด/บริษัท_Und_ม...คัญของพนักงานเป็นอันดับแรกด้วย_Und_ISO_Und_45001  | ✓ | ⏱: 1.06s 
[SCRAPE].. ◆ https://www.mahamitr.com/รายละเอียด/บริษัท_Und_ม...คัญของพนักงานเป็นอันดับแรกด้วย_Und_ISO_Und_45001  | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://www.mahamitr.com/รายละเอียด/บริษัท_Und_ม...คัญของพนักงานเป็นอันดับแรกด้วย_Und_ISO_Und_45001  | ✓ | ⏱: 1.07s 
[FETCH]... ↓ https://www.mahamitr.com/รายละเอียด/65128d3b3b75...ากาศมุมผ่อนคลายมุมโอโซน/651390f3e314dc00133240a2  | ✓ | ⏱: 0.87s 
[SCRAPE].. ◆ https://www.mahamitr.com/รายละเอียด/65128d3b3b75...ากาศมุมผ่อนคลายมุมโอโซน/651390f3e314dc00133240a2  | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://www.mahamitr.com/รายละเอียด/65128d3b3b75...ากาศมุมผ่อนคลายมุมโอโซน/651390f3e314dc00133240a2  | ✓ | ⏱: 0.89s 
[FETCH]... ↓ https://www.mahamitr.com/เกี่ยวกับเรา/650d6a1c3b75050012eee596                                       | ✓ | ⏱: 1.29s 
[SCRAPE].. ◆ https://www.mahamitr.com/เกี่ยวกับเรา/650d6a1c3b75050012eee596                                       | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.mahamitr.com/เกี่ยวกับเรา/650d6a1c3b75050012eee596                                       | ✓ | ⏱: 1.30s 
/Users/acelerzbw/Documents/Codex/2026-08-13/crm-twenty-postgresql/key-person-discovery/outputs/batch-20260815/company-159e450fd2-b89234bd246a.json
