[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://asahial.co.jp/contact/                                                                       | ✓ | ⏱: 5.46s 
[SCRAPE].. ◆ https://asahial.co.jp/contact/                                                                       | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://asahial.co.jp/contact/                                                                       | ✓ | ⏱: 6.49s 
[FETCH]... ↓ https://asahial.co.jp/management/                                                                    | ✓ | ⏱: 5.58s 
[SCRAPE].. ◆ https://asahial.co.jp/management/                                                                    | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://asahial.co.jp/management/                                                                    | ✓ | ⏱: 6.52s 
[FETCH]... ↓ https://asahial.co.jp/company/                                                                       | ✓ | ⏱: 5.61s 
[SCRAPE].. ◆ https://asahial.co.jp/company/                                                                       | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://asahial.co.jp/company/                                                                       | ✓ | ⏱: 6.54s 
[FETCH]... ↓ https://asahial.co.jp                                                                                | ✓ | ⏱: 6.22s 
[SCRAPE].. ◆ https://asahial.co.jp                                                                                | ✓ | ⏱: 0.03s 
[COMPLETE] ● https://asahial.co.jp                                                                                | ✓ | ⏱: 7.38s 
[FETCH]... ↓ https://asahial.co.jp/news/                                                                          | ✓ | ⏱: 1.84s 
[SCRAPE].. ◆ https://asahial.co.jp/news/                                                                          | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://asahial.co.jp/news/                                                                          | ✓ | ⏱: 1.87s 
[FETCH]... ↓ https://asahial.co.jp/news/企業版ふるさと納税について-2                                                           | ✓ | ⏱: 2.27s 
[SCRAPE].. ◆ https://asahial.co.jp/news/企業版ふるさと納税について-2                                                           | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://asahial.co.jp/news/企業版ふるさと納税について-2                                                           | ✓ | ⏱: 2.30s 
[FETCH]... ↓ https://asahial.co.jp/news/令和6年能登半島地震の被害に対する支援について/                                                  | ✓ | ⏱: 1.94s 
[SCRAPE].. ◆ https://asahial.co.jp/news/令和6年能登半島地震の被害に対する支援について/                                                  | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://asahial.co.jp/news/令和6年能登半島地震の被害に対する支援について/                                                  | ✓ | ⏱: 1.96s 
[FETCH]... ↓ https://asahial.co.jp/news/令和6年能登半島地震の被害に対する支援について                                                   | ✓ | ⏱: 2.31s 
[SCRAPE].. ◆ https://asahial.co.jp/news/令和6年能登半島地震の被害に対する支援について                                                   | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://asahial.co.jp/news/令和6年能登半島地震の被害に対する支援について                                                   | ✓ | ⏱: 2.34s 
