[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://mmc-steel.ru/news/?slug=bru                                                                  | ✓ | ⏱: 6.58s 
[SCRAPE].. ◆ https://mmc-steel.ru/news/?slug=bru                                                                  | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://mmc-steel.ru/news/?slug=bru                                                                  | ✓ | ⏱: 7.06s 
[FETCH]... ↓ https://mmc-steel.ru/news/                                                                           | ✓ | ⏱: 6.59s 
[SCRAPE].. ◆ https://mmc-steel.ru/news/                                                                           | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://mmc-steel.ru/news/                                                                           | ✓ | ⏱: 7.09s 
[FETCH]... ↓ https://mmc-steel.ru/contacts/                                                                       | ✓ | ⏱: 6.54s 
[SCRAPE].. ◆ https://mmc-steel.ru/contacts/                                                                       | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://mmc-steel.ru/contacts/                                                                       | ✓ | ⏱: 7.12s 
[FETCH]... ↓ http://mmc-steel.ru                                                                                  | ✓ | ⏱: 6.66s 
[SCRAPE].. ◆ http://mmc-steel.ru                                                                                  | ✓ | ⏱: 0.02s 
[COMPLETE] ● http://mmc-steel.ru                                                                                  | ✓ | ⏱: 7.49s 
[FETCH]... ↓ https://mmc-steel.ru/news/?slug=est                                                                  | ✓ | ⏱: 1.88s 
[SCRAPE].. ◆ https://mmc-steel.ru/news/?slug=est                                                                  | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://mmc-steel.ru/news/?slug=est                                                                  | ✓ | ⏱: 1.91s 
[FETCH]... ↓ https://mmc-steel.ru/news/audit-po-vnedreniju-je...hodit-na-nadezhdinskom-metallurgicheskom-zavode/  | ✓ | ⏱: 1.95s 
[SCRAPE].. ◆ https://mmc-steel.ru/news/audit-po-vnedreniju-je...hodit-na-nadezhdinskom-metallurgicheskom-zavode/  | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://mmc-steel.ru/news/audit-po-vnedreniju-je...hodit-na-nadezhdinskom-metallurgicheskom-zavode/  | ✓ | ⏱: 1.96s 
[FETCH]... ↓ https://mmc-steel.ru/news/?slug=umk-stal                                                             | ✓ | ⏱: 2.39s 
[SCRAPE].. ◆ https://mmc-steel.ru/news/?slug=umk-stal                                                             | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://mmc-steel.ru/news/?slug=umk-stal                                                             | ✓ | ⏱: 2.42s 
[FETCH]... ↓ https://mmc-steel.ru/news/?slug=nmz                                                                  | ✓ | ⏱: 2.92s 
[SCRAPE].. ◆ https://mmc-steel.ru/news/?slug=nmz                                                                  | ✓ | ⏱: 0.02s 
