[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://hanjoolightmetal.com                                                                         | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://hanjoolightmetal.com                                                                         | ✓ | ⏱: 0.00s 
[FETCH]... ↓ https://hanjoolightmetal.com/eng/product/etc.htm                                                     | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://hanjoolightmetal.com/eng/product/etc.htm                                                     | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://hanjoolightmetal.com/eng/about/history.htm                                                   | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://hanjoolightmetal.com/eng/about/history.htm                                                   | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://hanjoolightmetal.com/eng/product/ev.htm                                                      | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://hanjoolightmetal.com/eng/product/ev.htm                                                      | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://ko.wikipedia.org/wiki/한주라이트메탈                                                                | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://ko.wikipedia.org/wiki/한주라이트메탈                                                                | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://hanjoolightmetal.com/eng/product/lightweight.htm                                             | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://hanjoolightmetal.com/eng/product/lightweight.htm                                             | ✓ | ⏱: 0.00s 
[FETCH]... ↓ https://www.hanjoolightmetal.com/                                                                    | ✓ | ⏱: 2.90s 
[SCRAPE].. ◆ https://www.hanjoolightmetal.com/                                                                    | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.hanjoolightmetal.com/                                                                    | ✓ | ⏱: 3.56s 
[FETCH]... ↓ https://hanjoolightmetal.com/board/eng                                                               | ✓ | ⏱: 4.56s 
[SCRAPE].. ◆ https://hanjoolightmetal.com/board/eng                                                               | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://hanjoolightmetal.com/board/eng                                                               | ✓ | ⏱: 4.85s 
[FETCH]... ↓ https://www.saramin.co.kr/zf_user/company-info/v...hNMDBWTVhLMWpOclJmZFVZdz09/company_nm/한주라이트메탈(주)  | ✓ | ⏱: 18.09s 
[SCRAPE].. ◆ https://www.saramin.co.kr/zf_user/company-info/v...hNMDBWTVhLMWpOclJmZFVZdz09/company_nm/한주라이트메탈(주)  | ✓ | ⏱: 0.03s 
[COMPLETE] ● https://www.saramin.co.kr/zf_user/company-info/v...hNMDBWTVhLMWpOclJmZFVZdz09/company_nm/한주라이트메탈(주)  | ✓ | ⏱: 18.12s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://hanjoolightmetal.com/about/greeting.htm                                                      | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://hanjoolightmetal.com/about/greeting.htm                                                      | ✓ | ⏱: 0.00s 
[FETCH]... ↓ https://hanjoolightmetal.com/about/workplace.htm                                                     | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://hanjoolightmetal.com/about/workplace.htm                                                     | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://hanjoolightmetal.com/about/vision.htm                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://hanjoolightmetal.com/about/vision.htm                                                        | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://hanjoolightmetal.com/about/history.htm                                                       | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://hanjoolightmetal.com/about/history.htm                                                       | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://hanjoolightmetal.com/eng/about/greeting.htm                                                  | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://hanjoolightmetal.com/eng/about/greeting.htm                                                  | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://hanjoolightmetal.com/eng/about/vision.htm                                                    | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://hanjoolightmetal.com/eng/about/vision.htm                                                    | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://hanjoolightmetal.com/images/main_company_logo_m.png                                          | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://hanjoolightmetal.com/images/main_company_logo_m.png                                          | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://hanjoolightmetal.com/board/eng/theme/hanjo/images/main_company_logo_m.png                    | ✓ | ⏱: 1.37s 
[SCRAPE].. ◆ https://hanjoolightmetal.com/board/eng/theme/hanjo/images/main_company_logo_m.png                    | ✓ | ⏱: 0.00s 
[ERROR]... × https://hanjoolightmeta...main_company_logo_m.png  | Error: Blocked by anti-bot protection: Structural: minimal_text, no_content_elements (517 bytes, 0 chars visible) 
[COMPLETE] ● https://hanjoolightmetal.com/board/eng/theme/hanjo/images/main_company_logo_m.png                    | ✗ | ⏱: 1.61s 
[FETCH]... ↓ https://hanjoolightmetal.com/eng/about/workplace.htm                                                 | ✓ | ⏱: 2.32s 
[SCRAPE].. ◆ https://hanjoolightmetal.com/eng/about/workplace.htm                                                 | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://hanjoolightmetal.com/eng/about/workplace.htm                                                 | ✓ | ⏱: 3.01s 
/Users/acelerzbw/Documents/Codex/2026-08-13/crm-twenty-postgresql/key-person-discovery/outputs/batch-20260815/company-c9eb77a65f-923fa5c6c506.json
