[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://www.soezgroup.ru/company/blog/                                                               | ✓ | ⏱: 3.90s 
[SCRAPE].. ◆ https://www.soezgroup.ru/company/blog/                                                               | ✓ | ⏱: 0.04s 
[COMPLETE] ● https://www.soezgroup.ru/company/blog/                                                               | ✓ | ⏱: 5.65s 
[FETCH]... ↓ https://www.soezgroup.ru                                                                             | ✓ | ⏱: 3.95s 
[SCRAPE].. ◆ https://www.soezgroup.ru                                                                             | ✓ | ⏱: 0.05s 
[COMPLETE] ● https://www.soezgroup.ru                                                                             | ✓ | ⏱: 6.00s 
[FETCH]... ↓ https://www.soezgroup.ru/company/blog/alyuminiy-...ristiki-gde-ispolzuyut-vidy-sposoby-polucheniya/  | ✓ | ⏱: 4.03s 
[SCRAPE].. ◆ https://www.soezgroup.ru/company/blog/alyuminiy-...ristiki-gde-ispolzuyut-vidy-sposoby-polucheniya/  | ✓ | ⏱: 0.04s 
[COMPLETE] ● https://www.soezgroup.ru/company/blog/alyuminiy-...ristiki-gde-ispolzuyut-vidy-sposoby-polucheniya/  | ✓ | ⏱: 5.77s 
[FETCH]... ↓ https://www.soezgroup.ru/company/blog/austenitnye-stali-polnyy-obzor-klassa-i-marok/                 | ✓ | ⏱: 4.89s 
[SCRAPE].. ◆ https://www.soezgroup.ru/company/blog/austenitnye-stali-polnyy-obzor-klassa-i-marok/                 | ✓ | ⏱: 0.04s 
[COMPLETE] ● https://www.soezgroup.ru/company/blog/austenitnye-stali-polnyy-obzor-klassa-i-marok/                 | ✓ | ⏱: 6.64s 
[FETCH]... ↓ https://www.soezgroup.ru/company/blog/blagorodnye-metally-ot-proiskhozhdeniya-do-ispolzovaniya/      | ✓ | ⏱: 1.38s 
[SCRAPE].. ◆ https://www.soezgroup.ru/company/blog/blagorodnye-metally-ot-proiskhozhdeniya-do-ispolzovaniya/      | ✓ | ⏱: 0.05s 
[COMPLETE] ● https://www.soezgroup.ru/company/blog/blagorodnye-metally-ot-proiskhozhdeniya-do-ispolzovaniya/      | ✓ | ⏱: 1.44s 
[FETCH]... ↓ https://www.soezgroup.ru/company/blog/bystrorezh...tal-svoystva-markirovka-i-oblasti-ispolzovaniya/  | ✓ | ⏱: 1.88s 
[SCRAPE].. ◆ https://www.soezgroup.ru/company/blog/bystrorezh...tal-svoystva-markirovka-i-oblasti-ispolzovaniya/  | ✓ | ⏱: 0.05s 
[COMPLETE] ● https://www.soezgroup.ru/company/blog/bystrorezh...tal-svoystva-markirovka-i-oblasti-ispolzovaniya/  | ✓ | ⏱: 1.94s 
