[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://coral-bic.com/about-us/                                                                      | ✓ | ⏱: 3.51s 
[SCRAPE].. ◆ https://coral-bic.com/about-us/                                                                      | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://coral-bic.com/about-us/                                                                      | ✓ | ⏱: 4.29s 
[FETCH]... ↓ https://coral-bic.com/company-overview/                                                              | ✓ | ⏱: 3.25s 
[SCRAPE].. ◆ https://coral-bic.com/company-overview/                                                              | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://coral-bic.com/company-overview/                                                              | ✓ | ⏱: 4.33s 
[FETCH]... ↓ https://coral-bic.com                                                                                | ✓ | ⏱: 2.60s 
[SCRAPE].. ◆ https://coral-bic.com                                                                                | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://coral-bic.com                                                                                | ✓ | ⏱: 4.63s 
[FETCH]... ↓ https://coral-bic.com/about/                                                                         | ✓ | ⏱: 3.61s 
[SCRAPE].. ◆ https://coral-bic.com/about/                                                                         | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://coral-bic.com/about/                                                                         | ✓ | ⏱: 4.38s 
[FETCH]... ↓ https://coral-bic.com/contact-us/                                                                    | ✓ | ⏱: 0.91s 
[SCRAPE].. ◆ https://coral-bic.com/contact-us/                                                                    | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://coral-bic.com/contact-us/                                                                    | ✓ | ⏱: 0.93s 
[FETCH]... ↓ https://coral-bic.com/news-1/                                                                        | ✓ | ⏱: 1.16s 
[SCRAPE].. ◆ https://coral-bic.com/news-1/                                                                        | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://coral-bic.com/news-1/                                                                        | ✓ | ⏱: 1.19s 
[FETCH]... ↓ https://coral-bic.com/news-2/                                                                        | ✓ | ⏱: 1.38s 
[SCRAPE].. ◆ https://coral-bic.com/news-2/                                                                        | ✓ | ⏱: 0.03s 
[COMPLETE] ● https://coral-bic.com/news-2/                                                                        | ✓ | ⏱: 1.42s 
[FETCH]... ↓ https://coral-bic.com/news-3/                                                                        | ✓ | ⏱: 1.13s 
[SCRAPE].. ◆ https://coral-bic.com/news-3/                                                                        | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://coral-bic.com/news-3/                                                                        | ✓ | ⏱: 1.16s 
[FETCH]... ↓ https://coral-bic.com/contact/                                                                       | ✓ | ⏱: 1.99s 
[SCRAPE].. ◆ https://coral-bic.com/contact/                                                                       | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://coral-bic.com/contact/                                                                       | ✓ | ⏱: 2.01s 
