[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://www.bundes-telefonbuch.de/niederkruechten/firma/dwl-wolf-gmbh-bvg063717766                   | ✓ | ⏱: 4.09s 
[SCRAPE].. ◆ https://www.bundes-telefonbuch.de/niederkruechten/firma/dwl-wolf-gmbh-bvg063717766                   | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.bundes-telefonbuch.de/niederkruechten/firma/dwl-wolf-gmbh-bvg063717766                   | ✓ | ⏱: 5.72s 
[FETCH]... ↓ https://www.dwl-wolf.de/en/impressum/                                                                | ✓ | ⏱: 6.69s 
[SCRAPE].. ◆ https://www.dwl-wolf.de/en/impressum/                                                                | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://www.dwl-wolf.de/en/impressum/                                                                | ✓ | ⏱: 8.72s 
[FETCH]... ↓ https://www.dwl-wolf.de/en/neu-im-team/                                                              | ✓ | ⏱: 6.72s 
[SCRAPE].. ◆ https://www.dwl-wolf.de/en/neu-im-team/                                                              | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://www.dwl-wolf.de/en/neu-im-team/                                                              | ✓ | ⏱: 8.74s 
[FETCH]... ↓ https://www.dwl-wolf.de                                                                              | ✓ | ⏱: 6.82s 
[SCRAPE].. ◆ https://www.dwl-wolf.de                                                                              | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://www.dwl-wolf.de                                                                              | ✓ | ⏱: 8.87s 
[FETCH]... ↓ https://www.dwl-wolf.de/en/produktion/                                                               | ✓ | ⏱: 1.44s 
[SCRAPE].. ◆ https://www.dwl-wolf.de/en/produktion/                                                               | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://www.dwl-wolf.de/en/produktion/                                                               | ✓ | ⏱: 3.48s 
[FETCH]... ↓ https://www.dwl-wolf.de/en/unternehmen/news/                                                         | ✓ | ⏱: 1.93s 
[SCRAPE].. ◆ https://www.dwl-wolf.de/en/unternehmen/news/                                                         | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://www.dwl-wolf.de/en/unternehmen/news/                                                         | ✓ | ⏱: 3.96s 
[FETCH]... ↓ https://www.dwl-wolf.de/en/teeamwork/unser-team/                                                     | ✓ | ⏱: 3.26s 
[SCRAPE].. ◆ https://www.dwl-wolf.de/en/teeamwork/unser-team/                                                     | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://www.dwl-wolf.de/en/teeamwork/unser-team/                                                     | ✓ | ⏱: 5.29s 
[FETCH]... ↓ https://www.dwl-wolf.de/en/unternehmen/standorte                                                     | ✓ | ⏱: 5.47s 
