[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://www.e6.com/about/board-members                                                               | ✓ | ⏱: 3.31s 
[SCRAPE].. ◆ https://www.e6.com/about/board-members                                                               | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.e6.com/about/board-members                                                               | ✓ | ⏱: 5.34s 
[FETCH]... ↓ https://www.e6.com/about/careers                                                                     | ✓ | ⏱: 3.23s 
[SCRAPE].. ◆ https://www.e6.com/about/careers                                                                     | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.e6.com/about/careers                                                                     | ✓ | ⏱: 5.23s 
[FETCH]... ↓ https://www.e6.com/about/contact-us                                                                  | ✓ | ⏱: 4.20s 
[SCRAPE].. ◆ https://www.e6.com/about/contact-us                                                                  | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.e6.com/about/contact-us                                                                  | ✓ | ⏱: 6.17s 
[FETCH]... ↓ https://e6.com                                                                                       | ✓ | ⏱: 4.33s 
[SCRAPE].. ◆ https://e6.com                                                                                       | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://e6.com                                                                                       | ✓ | ⏱: 6.36s 
[FETCH]... ↓ https://www.e6.com/about/contact-us-text                                                             | ✓ | ⏱: 1.17s 
[SCRAPE].. ◆ https://www.e6.com/about/contact-us-text                                                             | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.e6.com/about/contact-us-text                                                             | ✓ | ⏱: 1.18s 
[FETCH]... ↓ https://www.e6.com/about/corporate-information                                                       | ✓ | ⏱: 1.17s 
[SCRAPE].. ◆ https://www.e6.com/about/corporate-information                                                       | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.e6.com/about/corporate-information                                                       | ✓ | ⏱: 1.19s 
[FETCH]... ↓ https://www.e6.com/about/corporate-information/conflict-minerals-policy                              | ✓ | ⏱: 1.20s 
[SCRAPE].. ◆ https://www.e6.com/about/corporate-information/conflict-minerals-policy                              | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.e6.com/about/corporate-information/conflict-minerals-policy                              | ✓ | ⏱: 1.22s 
[FETCH]... ↓ https://www.e6.com/about/corporate-information/responsibilities                                      | ✓ | ⏱: 1.32s 
[SCRAPE].. ◆ https://www.e6.com/about/corporate-information/responsibilities                                      | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.e6.com/about/corporate-information/responsibilities                                      | ✓ | ⏱: 1.35s 
[FETCH]... ↓ https://www.e6.com/about/executive-committee                                                         | ✓ | ⏱: 1.28s 
[SCRAPE].. ◆ https://www.e6.com/about/executive-committee                                                         | ✓ | ⏱: 0.01s 
