[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://staging2.invictawatch.com/contact                                                            | ✓ | ⏱: 2.40s 
[SCRAPE].. ◆ https://staging2.invictawatch.com/contact                                                            | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://staging2.invictawatch.com/contact                                                            | ✓ | ⏱: 3.77s 
[FETCH]... ↓ https://invictastores.com/pages/contact                                                              | ✓ | ⏱: 2.97s 
[SCRAPE].. ◆ https://invictastores.com/pages/contact                                                              | ✓ | ⏱: 0.14s 
[COMPLETE] ● https://invictastores.com/pages/contact                                                              | ✓ | ⏱: 4.24s 
[FETCH]... ↓ https://invicta.pissedconsumer.com/customer-service.html                                             | ✓ | ⏱: 5.41s 
[SCRAPE].. ◆ https://invicta.pissedconsumer.com/customer-service.html                                             | ✓ | ⏱: 0.03s 
[COMPLETE] ● https://invicta.pissedconsumer.com/customer-service.html                                             | ✓ | ⏱: 7.07s 
[FETCH]... ↓ https://www.invicta.fr                                                                               | ✓ | ⏱: 2.01s 
[SCRAPE].. ◆ https://www.invicta.fr                                                                               | ✓ | ⏱: 0.00s 
[ERROR]... × https://www.invicta.fr                             | Error: Blocked by anti-bot protection: Structural: minimal_text on small page (144 bytes, 19 chars visible) 
[COMPLETE] ● https://www.invicta.fr                                                                               | ✗ | ⏱: 3.83s 
[FETCH]... ↓ https://invicta-attachments.co.uk/a-day-in-the-life-of-our-technical-manager/                        | ✓ | ⏱: 7.78s 
[SCRAPE].. ◆ https://invicta-attachments.co.uk/a-day-in-the-life-of-our-technical-manager/                        | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://invicta-attachments.co.uk/a-day-in-the-life-of-our-technical-manager/                        | ✓ | ⏱: 9.01s 
[FETCH]... ↓ https://www.invicta.fr/en/news/                                                                      | ✓ | ⏱: 2.48s 
[SCRAPE].. ◆ https://www.invicta.fr/en/news/                                                                      | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.invicta.fr/en/news/                                                                      | ✓ | ⏱: 2.50s 
[FETCH]... ↓ https://www.invicta.fr/en/about/                                                                     | ✓ | ⏱: 4.96s 
[SCRAPE].. ◆ https://www.invicta.fr/en/about/                                                                     | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.invicta.fr/en/about/                                                                     | ✓ | ⏱: 5.91s 
[FETCH]... ↓ https://www.invicta.fr/en/contact/                                                                   | ✓ | ⏱: 3.22s 
[SCRAPE].. ◆ https://www.invicta.fr/en/contact/                                                                   | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.invicta.fr/en/contact/                                                                   | ✓ | ⏱: 3.24s 
