[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://konimpex.pl/job-offers                                                                       | ✓ | ⏱: 7.48s 
[SCRAPE].. ◆ https://konimpex.pl/job-offers                                                                       | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://konimpex.pl/job-offers                                                                       | ✓ | ⏱: 8.58s 
[FETCH]... ↓ https://konimpex.pl/contact                                                                          | ✓ | ⏱: 7.57s 
[SCRAPE].. ◆ https://konimpex.pl/contact                                                                          | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://konimpex.pl/contact                                                                          | ✓ | ⏱: 8.59s 
[FETCH]... ↓ https://konimpex.pl/en                                                                               | ✓ | ⏱: 7.68s 
[SCRAPE].. ◆ https://konimpex.pl/en                                                                               | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://konimpex.pl/en                                                                               | ✓ | ⏱: 8.61s 
[FETCH]... ↓ https://konimpex.pl                                                                                  | ✓ | ⏱: 7.90s 
[SCRAPE].. ◆ https://konimpex.pl                                                                                  | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://konimpex.pl                                                                                  | ✓ | ⏱: 8.93s 
[FETCH]... ↓ https://konimpex.pl/klauzula-rodo-en                                                                 | ✓ | ⏱: 1.86s 
[SCRAPE].. ◆ https://konimpex.pl/klauzula-rodo-en                                                                 | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://konimpex.pl/klauzula-rodo-en                                                                 | ✓ | ⏱: 1.88s 
[FETCH]... ↓ https://konimpex.pl/social-responsibility-politics                                                   | ✓ | ⏱: 1.48s 
[SCRAPE].. ◆ https://konimpex.pl/social-responsibility-politics                                                   | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://konimpex.pl/social-responsibility-politics                                                   | ✓ | ⏱: 1.49s 
[FETCH]... ↓ https://www.northdata.com/Konimpex sp· z o·o·, Konin/KRS0000043189                                   | ✓ | ⏱: 2.21s 
[SCRAPE].. ◆ https://www.northdata.com/Konimpex sp· z o·o·, Konin/KRS0000043189                                   | ✓ | ⏱: 0.06s 
[COMPLETE] ● https://www.northdata.com/Konimpex sp· z o·o·, Konin/KRS0000043189                                   | ✓ | ⏱: 2.28s 
[FETCH]... ↓ https://www.krs-online.com.pl/firma/1439986-koni...sp-z-o-o-pph-zaklad-obrotu-surowcami-chemicznymi  | ✓ | ⏱: 2.54s 
[SCRAPE].. ◆ https://www.krs-online.com.pl/firma/1439986-koni...sp-z-o-o-pph-zaklad-obrotu-surowcami-chemicznymi  | ✓ | ⏱: 0.01s 
