[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://kruegerpottery.com/pages/krueger-pottery-supply-group-and-private-parties                    | ✓ | ⏱: 3.20s 
[SCRAPE].. ◆ https://kruegerpottery.com/pages/krueger-pottery-supply-group-and-private-parties                    | ✓ | ⏱: 0.03s 
[COMPLETE] ● https://kruegerpottery.com/pages/krueger-pottery-supply-group-and-private-parties                    | ✓ | ⏱: 4.14s 
[FETCH]... ↓ https://kruegerpottery.com/pages/krueger-pottery-supply-contact-us-directions                        | ✓ | ⏱: 3.25s 
[SCRAPE].. ◆ https://kruegerpottery.com/pages/krueger-pottery-supply-contact-us-directions                        | ✓ | ⏱: 0.03s 
[COMPLETE] ● https://kruegerpottery.com/pages/krueger-pottery-supply-contact-us-directions                        | ✓ | ⏱: 4.18s 
[FETCH]... ↓ https://kruegerpottery.com/pages/krueger-pottery-supply-sales-policy                                 | ✓ | ⏱: 3.28s 
[SCRAPE].. ◆ https://kruegerpottery.com/pages/krueger-pottery-supply-sales-policy                                 | ✓ | ⏱: 0.03s 
[COMPLETE] ● https://kruegerpottery.com/pages/krueger-pottery-supply-sales-policy                                 | ✓ | ⏱: 4.22s 
[FETCH]... ↓ https://kruegerpottery.com                                                                           | ✓ | ⏱: 3.32s 
[SCRAPE].. ◆ https://kruegerpottery.com                                                                           | ✓ | ⏱: 0.04s 
[COMPLETE] ● https://kruegerpottery.com                                                                           | ✓ | ⏱: 4.60s 
[FETCH]... ↓ https://kruegerpottery.com/pages/krueger-pottery-supply-store-studio-hours                           | ✓ | ⏱: 0.78s 
[SCRAPE].. ◆ https://kruegerpottery.com/pages/krueger-pottery-supply-store-studio-hours                           | ✓ | ⏱: 0.03s 
[COMPLETE] ● https://kruegerpottery.com/pages/krueger-pottery-supply-store-studio-hours                           | ✓ | ⏱: 0.83s 
[FETCH]... ↓ https://kruegerpottery.com/pages/krueger-pottery-supply-shipping-policies                            | ✓ | ⏱: 1.38s 
[SCRAPE].. ◆ https://kruegerpottery.com/pages/krueger-pottery-supply-shipping-policies                            | ✓ | ⏱: 0.03s 
[COMPLETE] ● https://kruegerpottery.com/pages/krueger-pottery-supply-shipping-policies                            | ✓ | ⏱: 1.43s 
[FETCH]... ↓ https://kruegerpottery.com/products/1000170                                                          | ✓ | ⏱: 1.79s 
[SCRAPE].. ◆ https://kruegerpottery.com/products/1000170                                                          | ✓ | ⏱: 0.04s 
[COMPLETE] ● https://kruegerpottery.com/products/1000170                                                          | ✓ | ⏱: 1.84s 
[FETCH]... ↓ https://kruegerpottery.com/products/parent-child-three-additional-people                             | ✓ | ⏱: 1.01s 
[SCRAPE].. ◆ https://kruegerpottery.com/products/parent-child-three-additional-people                             | ✓ | ⏱: 0.03s 
[COMPLETE] ● https://kruegerpottery.com/products/parent-child-three-additional-people                             | ✓ | ⏱: 1.05s 
[FETCH]... ↓ https://kruegerpottery.com/products/parent-child-two-additional-people                               | ✓ | ⏱: 0.76s 
[SCRAPE].. ◆ https://kruegerpottery.com/products/parent-child-two-additional-people                               | ✓ | ⏱: 0.03s 
[COMPLETE] ● https://kruegerpottery.com/products/parent-child-two-additional-people                               | ✓ | ⏱: 0.80s 
[FETCH]... ↓ https://kruegerpottery.com/products/ll-easy-fire-e18t-3                                              | ✓ | ⏱: 3.37s 
[SCRAPE].. ◆ https://kruegerpottery.com/products/ll-easy-fire-e18t-3                                              | ✓ | ⏱: 0.07s 
[COMPLETE] ● https://kruegerpottery.com/products/ll-easy-fire-e18t-3                                              | ✓ | ⏱: 3.45s 
