[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://coexbrasil.com.br/parceiros/stay-fundicao/                                                   | ✓ | ⏱: 5.32s 
[SCRAPE].. ◆ https://coexbrasil.com.br/parceiros/stay-fundicao/                                                   | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://coexbrasil.com.br/parceiros/stay-fundicao/                                                   | ✓ | ⏱: 7.34s 
[FETCH]... ↓ http://www.fundstay.com.br                                                                           | ✓ | ⏱: 5.80s 
[SCRAPE].. ◆ http://www.fundstay.com.br                                                                           | ✓ | ⏱: 0.01s 
[COMPLETE] ● http://www.fundstay.com.br                                                                           | ✓ | ⏱: 7.83s 
[FETCH]... ↓ https://www.fundstay.com.br/contato/                                                                 | ✓ | ⏱: 8.66s 
[SCRAPE].. ◆ https://www.fundstay.com.br/contato/                                                                 | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.fundstay.com.br/contato/                                                                 | ✓ | ⏱: 10.68s 
[FETCH]... ↓ https://www.fundstay.com.br/en/                                                                      | ✓ | ⏱: 8.67s 
[SCRAPE].. ◆ https://www.fundstay.com.br/en/                                                                      | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.fundstay.com.br/en/                                                                      | ✓ | ⏱: 10.70s 
[FETCH]... ↓ https://www.fundstay.com.br/en/contact/                                                              | ✓ | ⏱: 2.63s 
[SCRAPE].. ◆ https://www.fundstay.com.br/en/contact/                                                              | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://www.fundstay.com.br/en/contact/                                                              | ✓ | ⏱: 4.64s 
[FETCH]... ↓ https://www.fundstay.com.br/en/certificates/                                                         | ✓ | ⏱: 3.32s 
[SCRAPE].. ◆ https://www.fundstay.com.br/en/certificates/                                                         | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.fundstay.com.br/en/certificates/                                                         | ✓ | ⏱: 5.34s 
[FETCH]... ↓ https://www.fundstay.com.br/en/quality-policy/                                                       | ✓ | ⏱: 2.79s 
[SCRAPE].. ◆ https://www.fundstay.com.br/en/quality-policy/                                                       | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.fundstay.com.br/en/quality-policy/                                                       | ✓ | ⏱: 4.81s 
[FETCH]... ↓ https://www.fundstay.com.br/en/sustainability/                                                       | ✓ | ⏱: 3.58s 
[SCRAPE].. ◆ https://www.fundstay.com.br/en/sustainability/                                                       | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://www.fundstay.com.br/en/sustainability/                                                       | ✓ | ⏱: 5.59s 
[FETCH]... ↓ https://www.fundstay.com.br/es/mantenimiento/                                                        | ✓ | ⏱: 2.88s 
[SCRAPE].. ◆ https://www.fundstay.com.br/es/mantenimiento/                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.fundstay.com.br/es/mantenimiento/                                                        | ✓ | ⏱: 4.90s 
[FETCH]... ↓ https://www.fundstay.com.br/servicos/                                                                | ✓ | ⏱: 3.63s 
[SCRAPE].. ◆ https://www.fundstay.com.br/servicos/                                                                | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.fundstay.com.br/servicos/                                                                | ✓ | ⏱: 5.65s 
[FETCH]... ↓ https://www.listamais.com.br/local/cad_id555Z75/...etalurgica-stay-ltda-metalurgica-em-sao-paulo-sp  | ✓ | ⏱: 2.79s 
[SCRAPE].. ◆ https://www.listamais.com.br/local/cad_id555Z75/...etalurgica-stay-ltda-metalurgica-em-sao-paulo-sp  | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://www.listamais.com.br/local/cad_id555Z75/...etalurgica-stay-ltda-metalurgica-em-sao-paulo-sp  | ✓ | ⏱: 3.71s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://www.fundstay.com.br/en/the-company/                                                          | ✓ | ⏱: 7.83s 
[SCRAPE].. ◆ https://www.fundstay.com.br/en/the-company/                                                          | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.fundstay.com.br/en/the-company/                                                          | ✓ | ⏱: 7.84s 
[FETCH]... ↓ https://www.fundstay.com.br/es/contacto/                                                             | ✓ | ⏱: 7.70s 
[SCRAPE].. ◆ https://www.fundstay.com.br/es/contacto/                                                             | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://www.fundstay.com.br/es/contacto/                                                             | ✓ | ⏱: 7.71s 
/Users/acelerzbw/Documents/Codex/2026-08-13/crm-twenty-postgresql/key-person-discovery/outputs/batch-20260815/metal-rgica-stay-ef4cd3c104c6.json
