[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://www.refwin.com/about/appad                                                                   | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refwin.com/about/appad                                                                   | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://refwin.com                                                                                   | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://refwin.com                                                                                   | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.refwin.com/about/feed                                                                    | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://www.refwin.com/about/feed                                                                    | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.refwin.com/about/subscribe?state=1                                                       | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refwin.com/about/subscribe?state=1                                                       | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.refwin.com/about/link                                                                    | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refwin.com/about/link                                                                    | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.refwin.com/about/contact                                                                 | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refwin.com/about/contact                                                                 | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.refwin.com/company/company?country=China                                                 | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refwin.com/company/company?country=China                                                 | ✓ | ⏱: 0.02s 
[FETCH]... ↓ https://www.refwin.com/company/company?country=Germany                                               | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://www.refwin.com/company/company?country=Germany                                               | ✓ | ⏱: 0.02s 
[FETCH]... ↓ https://www.refwin.com/company/company?country=Australia                                             | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://www.refwin.com/company/company?country=Australia                                             | ✓ | ⏱: 0.02s 
[FETCH]... ↓ https://www.refwin.com/company/Country                                                               | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://www.refwin.com/company/Country                                                               | ✓ | ⏱: 0.02s 
[FETCH]... ↓ https://www.refwin.com/company/company?isShowCategory=true                                           | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refwin.com/company/company?isShowCategory=true                                           | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.refwin.com/company/company?country=USA                                                   | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refwin.com/company/company?country=USA                                                   | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.refwin.com/company/company?country=UK                                                    | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://www.refwin.com/company/company?country=UK                                                    | ✓ | ⏱: 0.02s 
