[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://www.refwin.com/about/appad                                                                   | ✓ | ⏱: 2.75s 
[SCRAPE].. ◆ https://www.refwin.com/about/appad                                                                   | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refwin.com/about/appad                                                                   | ✓ | ⏱: 2.95s 
[FETCH]... ↓ https://www.refwin.com/about/feed                                                                    | ✓ | ⏱: 2.71s 
[SCRAPE].. ◆ https://www.refwin.com/about/feed                                                                    | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refwin.com/about/feed                                                                    | ✓ | ⏱: 2.83s 
[FETCH]... ↓ https://www.refwin.com/about/contact                                                                 | ✓ | ⏱: 2.72s 
[SCRAPE].. ◆ https://www.refwin.com/about/contact                                                                 | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refwin.com/about/contact                                                                 | ✓ | ⏱: 2.84s 
[FETCH]... ↓ https://refwin.com                                                                                   | ✓ | ⏱: 2.67s 
[SCRAPE].. ◆ https://refwin.com                                                                                   | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://refwin.com                                                                                   | ✓ | ⏱: 3.00s 
[FETCH]... ↓ https://www.refwin.com/about/link                                                                    | ✓ | ⏱: 0.29s 
[SCRAPE].. ◆ https://www.refwin.com/about/link                                                                    | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refwin.com/about/link                                                                    | ✓ | ⏱: 0.30s 
[FETCH]... ↓ https://www.refwin.com/about/subscribe?state=1                                                       | ✓ | ⏱: 0.26s 
[SCRAPE].. ◆ https://www.refwin.com/about/subscribe?state=1                                                       | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refwin.com/about/subscribe?state=1                                                       | ✓ | ⏱: 0.28s 
[FETCH]... ↓ https://www.refwin.com/company/Country                                                               | ✓ | ⏱: 0.51s 
[SCRAPE].. ◆ https://www.refwin.com/company/Country                                                               | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refwin.com/company/Country                                                               | ✓ | ⏱: 0.53s 
[FETCH]... ↓ https://www.refwin.com/company/company?country=Australia                                             | ✓ | ⏱: 0.54s 
[SCRAPE].. ◆ https://www.refwin.com/company/company?country=Australia                                             | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refwin.com/company/company?country=Australia                                             | ✓ | ⏱: 0.56s 
[FETCH]... ↓ https://www.refwin.com/company/company?country=Germany                                               | ✓ | ⏱: 0.49s 
[SCRAPE].. ◆ https://www.refwin.com/company/company?country=Germany                                               | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://www.refwin.com/company/company?country=Germany                                               | ✓ | ⏱: 0.51s 
