[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://www.decypha.com/en/company-list/Qatar-Aluminium-Manufacturing-QPSC-134187                    | ✓ | ⏱: 1.72s 
[SCRAPE].. ◆ https://www.decypha.com/en/company-list/Qatar-Aluminium-Manufacturing-QPSC-134187                    | ✓ | ⏱: 0.00s 
[ERROR]... × https://www.decypha.com...nufacturing-QPSC-134187  | Error: Blocked by anti-bot protection: Structural: minimal_text, no_content_elements (39 bytes, 0 chars visible) 
[COMPLETE] ● https://www.decypha.com/en/company-list/Qatar-Aluminium-Manufacturing-QPSC-134187                    | ✗ | ⏱: 3.30s 
[FETCH]... ↓ https://www.marketscreener.com/news/norsk-hydro-...oduction-at-60-percent-capacity-ce7e5fdddf8ff624  | ✓ | ⏱: 3.62s 
[SCRAPE].. ◆ https://www.marketscreener.com/news/norsk-hydro-...oduction-at-60-percent-capacity-ce7e5fdddf8ff624  | ✓ | ⏱: 0.05s 
[COMPLETE] ● https://www.marketscreener.com/news/norsk-hydro-...oduction-at-60-percent-capacity-ce7e5fdddf8ff624  | ✓ | ⏱: 4.73s 
[FETCH]... ↓ https://nl.marketscreener.com/beursnieuws/joint-...op-60-procent-van-de-capaciteit-ce7e5fdddf8ff624  | ✓ | ⏱: 2.79s 
[SCRAPE].. ◆ https://nl.marketscreener.com/beursnieuws/joint-...op-60-procent-van-de-capaciteit-ce7e5fdddf8ff624  | ✓ | ⏱: 0.04s 
[COMPLETE] ● https://nl.marketscreener.com/beursnieuws/joint-...op-60-procent-van-de-capaciteit-ce7e5fdddf8ff624  | ✓ | ⏱: 4.79s 
[FETCH]... ↓ https://www.qamco.com.qa                                                                             | ✓ | ⏱: 3.75s 
[SCRAPE].. ◆ https://www.qamco.com.qa                                                                             | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.qamco.com.qa                                                                             | ✓ | ⏱: 4.95s 
[FETCH]... ↓ https://www.qamco.com.qa/ar/about/board-of-directors/ms-lolwa-khalil-salat/                          | ✓ | ⏱: 2.54s 
[SCRAPE].. ◆ https://www.qamco.com.qa/ar/about/board-of-directors/ms-lolwa-khalil-salat/                          | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.qamco.com.qa/ar/about/board-of-directors/ms-lolwa-khalil-salat/                          | ✓ | ⏱: 3.66s 
[FETCH]... ↓ https://www.qamco.com.qa/ar/investor-relations/investor-relations-contact/                           | ✓ | ⏱: 2.34s 
[SCRAPE].. ◆ https://www.qamco.com.qa/ar/investor-relations/investor-relations-contact/                           | ✓ | ⏱: 0.01s 
