[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://panjiva.com/Refko-Feuerfest-GmbH/86629180                                                    | ✓ | ⏱: 2.45s 
[SCRAPE].. ◆ https://panjiva.com/Refko-Feuerfest-GmbH/86629180                                                    | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://panjiva.com/Refko-Feuerfest-GmbH/86629180                                                    | ✓ | ⏱: 3.64s 
[FETCH]... ↓ https://www.refko.de/                                                                                | ✓ | ⏱: 4.65s 
[SCRAPE].. ◆ https://www.refko.de/                                                                                | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refko.de/                                                                                | ✓ | ⏱: 5.81s 
[FETCH]... ↓ https://www.azdeutschland.com/firma/refko_feuerfest_gmbh_ransbach-baumbach_rp_concordia_5b           | ✓ | ⏱: 4.37s 
[SCRAPE].. ◆ https://www.azdeutschland.com/firma/refko_feuerfest_gmbh_ransbach-baumbach_rp_concordia_5b           | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://www.azdeutschland.com/firma/refko_feuerfest_gmbh_ransbach-baumbach_rp_concordia_5b           | ✓ | ⏱: 6.03s 
[FETCH]... ↓ https://www.test.de/FISS-Management-AG-Finanzaufsicht-stoppt-Privatdarlehen-1726835-0/               | ✓ | ⏱: 0.74s 
[SCRAPE].. ◆ https://www.test.de/FISS-Management-AG-Finanzaufsicht-stoppt-Privatdarlehen-1726835-0/               | ✓ | ⏱: 0.03s 
[COMPLETE] ● https://www.test.de/FISS-Management-AG-Finanzaufsicht-stoppt-Privatdarlehen-1726835-0/               | ✓ | ⏱: 0.78s 
[FETCH]... ↓ https://www.test.de/Euro-Asset-Management-Unerlaubte-Geschaefte-1073973-0/                           | ✓ | ⏱: 2.09s 
[SCRAPE].. ◆ https://www.test.de/Euro-Asset-Management-Unerlaubte-Geschaefte-1073973-0/                           | ✓ | ⏱: 0.03s 
[COMPLETE] ● https://www.test.de/Euro-Asset-Management-Unerlaubte-Geschaefte-1073973-0/                           | ✓ | ⏱: 3.00s 
[FETCH]... ↓ http://test.de                                                                                       | ✓ | ⏱: 4.64s 
[SCRAPE].. ◆ http://test.de                                                                                       | ✓ | ⏱: 0.06s 
[COMPLETE] ● http://test.de                                                                                       | ✓ | ⏱: 6.72s 
[FETCH]... ↓ https://www.test.de/Im-Visier-Future-Team-GmbH-21521-0/                                              | ✓ | ⏱: 0.73s 
[SCRAPE].. ◆ https://www.test.de/Im-Visier-Future-Team-GmbH-21521-0/                                              | ✓ | ⏱: 0.03s 
[COMPLETE] ● https://www.test.de/Im-Visier-Future-Team-GmbH-21521-0/                                              | ✓ | ⏱: 0.76s 
