[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://refraconsult.de/index.php/en/about-us                                                        | ✓ | ⏱: 2.79s 
[SCRAPE].. ◆ https://refraconsult.de/index.php/en/about-us                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://refraconsult.de/index.php/en/about-us                                                        | ✓ | ⏱: 3.55s 
[FETCH]... ↓ https://refraconsult.de/index.php/en/about-us/contact                                                | ✓ | ⏱: 2.94s 
[SCRAPE].. ◆ https://refraconsult.de/index.php/en/about-us/contact                                                | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://refraconsult.de/index.php/en/about-us/contact                                                | ✓ | ⏱: 3.56s 
[FETCH]... ↓ https://refraconsult.de                                                                              | ✓ | ⏱: 3.11s 
[SCRAPE].. ◆ https://refraconsult.de                                                                              | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://refraconsult.de                                                                              | ✓ | ⏱: 3.88s 
[FETCH]... ↓ https://refraconsult.de/index.php/service/beratung-consulting-2                                      | ✓ | ⏱: 2.95s 
[SCRAPE].. ◆ https://refraconsult.de/index.php/service/beratung-consulting-2                                      | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://refraconsult.de/index.php/service/beratung-consulting-2                                      | ✓ | ⏱: 3.58s 
[FETCH]... ↓ https://refraconsult.de/index.php/ueber-uns2/impressum-2                                             | ✓ | ⏱: 0.68s 
[SCRAPE].. ◆ https://refraconsult.de/index.php/ueber-uns2/impressum-2                                             | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://refraconsult.de/index.php/ueber-uns2/impressum-2                                             | ✓ | ⏱: 0.70s 
[FETCH]... ↓ https://www.refraconsult.de/index.php/en/material-examination-development                            | ✓ | ⏱: 1.53s 
[SCRAPE].. ◆ https://www.refraconsult.de/index.php/en/material-examination-development                            | ✓ | ⏱: 0.00s 
[ERROR]... × https://www.refraconsul...examination-development  | Error: Blocked by anti-bot protection: Structural: minimal_text on small page (1079 bytes, 41 chars visible) 
[COMPLETE] ● https://www.refraconsult.de/index.php/en/material-examination-development                            | ✗ | ⏱: 2.40s 
[FETCH]... ↓ https://www.refraconsult.de/index.php/en/                                                            | ✓ | ⏱: 2.59s 
[SCRAPE].. ◆ https://www.refraconsult.de/index.php/en/                                                            | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refraconsult.de/index.php/en/                                                            | ✓ | ⏱: 4.16s 
[FETCH]... ↓ https://www.refraconsult.de/index.php/en/about-us                                                    | ✓ | ⏱: 2.73s 
[SCRAPE].. ◆ https://www.refraconsult.de/index.php/en/about-us                                                    | ✓ | ⏱: 0.00s 
