[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://www.refrasil.cz                                                                              | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refrasil.cz                                                                              | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://refrasil.sluzby.cz/                                                                          | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://refrasil.sluzby.cz/                                                                          | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.refrasil.cz/english/about-us/history/                                                    | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refrasil.cz/english/about-us/history/                                                    | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.refrasil.cz/english/about-us/basic-information/                                          | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refrasil.cz/english/about-us/basic-information/                                          | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.refrasil.cz/english/about-us/                                                            | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refrasil.cz/english/about-us/                                                            | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.refrasil.cz/english/about-us/bodies/                                                     | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refrasil.cz/english/about-us/bodies/                                                     | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.refrasil.cz/english/about-us/quality-system/certificate-en-page-001/                     | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refrasil.cz/english/about-us/quality-system/certificate-en-page-001/                     | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.refrasil.cz/english/about-us/quality-system/cert-en-3/                                   | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refrasil.cz/english/about-us/quality-system/cert-en-3/                                   | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.refrasil.cz/english/about-us/quality-system/                                             | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refrasil.cz/english/about-us/quality-system/                                             | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.refrasil.cz/english/about-us/history/refrasil_old/                                       | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refrasil.cz/english/about-us/history/refrasil_old/                                       | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.refrasil.cz/english/about-us/quality-system/certifikat-en-2024-3/                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refrasil.cz/english/about-us/quality-system/certifikat-en-2024-3/                        | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.refrasil.cz/english/about-us/quality-system/certifikat-en-2024-4/                        | ✓ | ⏱: 0.01s 
