[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://www.resitec.no/2018/03/09/welcome-to-the-opening-of-future-materials-katapult-center         | ✓ | ⏱: 2.44s 
[SCRAPE].. ◆ https://www.resitec.no/2018/03/09/welcome-to-the-opening-of-future-materials-katapult-center         | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.resitec.no/2018/03/09/welcome-to-the-opening-of-future-materials-katapult-center         | ✓ | ⏱: 3.42s 
[FETCH]... ↓ https://www.resitec.no/2018/04/25/vil-du-vaere-en-del-av-teamet-i-resitec/                           | ✓ | ⏱: 2.55s 
[SCRAPE].. ◆ https://www.resitec.no/2018/04/25/vil-du-vaere-en-del-av-teamet-i-resitec/                           | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://www.resitec.no/2018/04/25/vil-du-vaere-en-del-av-teamet-i-resitec/                           | ✓ | ⏱: 3.44s 
[FETCH]... ↓ https://www.resitec.no/2021/06/28/resitec-has-hired-new-colleagues                                   | ✓ | ⏱: 2.56s 
[SCRAPE].. ◆ https://www.resitec.no/2021/06/28/resitec-has-hired-new-colleagues                                   | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://www.resitec.no/2021/06/28/resitec-has-hired-new-colleagues                                   | ✓ | ⏱: 3.45s 
[FETCH]... ↓ https://www.resitec.no                                                                               | ✓ | ⏱: 2.95s 
[SCRAPE].. ◆ https://www.resitec.no                                                                               | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.resitec.no                                                                               | ✓ | ⏱: 3.82s 
[FETCH]... ↓ https://www.resitec.no/2025/12/22/from-mineral-to-metal-unlocking-value-from-seabed-sulfides         | ✓ | ⏱: 1.46s 
[SCRAPE].. ◆ https://www.resitec.no/2025/12/22/from-mineral-to-metal-unlocking-value-from-seabed-sulfides         | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://www.resitec.no/2025/12/22/from-mineral-to-metal-unlocking-value-from-seabed-sulfides         | ✓ | ⏱: 1.47s 
[FETCH]... ↓ https://www.resitec.no/about-resitec/future-materials-as/                                            | ✓ | ⏱: 1.25s 
[SCRAPE].. ◆ https://www.resitec.no/about-resitec/future-materials-as/                                            | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://www.resitec.no/about-resitec/future-materials-as/                                            | ✓ | ⏱: 1.26s 
[FETCH]... ↓ https://www.resitec.no/about-resitec/                                                                | ✓ | ⏱: 1.26s 
[SCRAPE].. ◆ https://www.resitec.no/about-resitec/                                                                | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.resitec.no/about-resitec/                                                                | ✓ | ⏱: 1.28s 
