[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://aeroleads.com/c/ri---flex-abrasives-s.r.l.                                                   | ✓ | ⏱: 3.63s 
[SCRAPE].. ◆ https://aeroleads.com/c/ri---flex-abrasives-s.r.l.                                                   | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://aeroleads.com/c/ri---flex-abrasives-s.r.l.                                                   | ✓ | ⏱: 3.66s 
[FETCH]... ↓ https://lei.bloomberg.com/leis/view/8156009C30F627B7CB93                                             | ✓ | ⏱: 2.60s 
[SCRAPE].. ◆ https://lei.bloomberg.com/leis/view/8156009C30F627B7CB93                                             | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://lei.bloomberg.com/leis/view/8156009C30F627B7CB93                                             | ✓ | ⏱: 4.63s 
[FETCH]... ↓ https://riflex.com/?lang=en                                                                          | ✓ | ⏱: 3.71s 
[SCRAPE].. ◆ https://riflex.com/?lang=en                                                                          | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://riflex.com/?lang=en                                                                          | ✓ | ⏱: 4.53s 
[FETCH]... ↓ https://riflex.com/author/riflex-admin/?lang=en                                                      | ✓ | ⏱: 2.19s 
[SCRAPE].. ◆ https://riflex.com/author/riflex-admin/?lang=en                                                      | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://riflex.com/author/riflex-admin/?lang=en                                                      | ✓ | ⏱: 2.21s 
[FETCH]... ↓ https://riflex.com/category/support-nylon/?lang=en                                                   | ✓ | ⏱: 1.37s 
[SCRAPE].. ◆ https://riflex.com/category/support-nylon/?lang=en                                                   | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://riflex.com/category/support-nylon/?lang=en                                                   | ✓ | ⏱: 1.40s 
[FETCH]... ↓ https://riflex.com/category/news/                                                                    | ✓ | ⏱: 4.14s 
[SCRAPE].. ◆ https://riflex.com/category/news/                                                                    | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://riflex.com/category/news/                                                                    | ✓ | ⏱: 4.15s 
[FETCH]... ↓ https://riflex.com                                                                                   | ✓ | ⏱: 7.50s 
[SCRAPE].. ◆ https://riflex.com                                                                                   | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://riflex.com                                                                                   | ✓ | ⏱: 8.79s 
[FETCH]... ↓ https://riflex.com/contact-us/?lang=en                                                               | ✓ | ⏱: 3.33s 
[SCRAPE].. ◆ https://riflex.com/contact-us/?lang=en                                                               | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://riflex.com/contact-us/?lang=en                                                               | ✓ | ⏱: 3.35s 
[FETCH]... ↓ https://riflex.com/contatti/                                                                         | ✓ | ⏱: 2.41s 
