[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://www.schott.com                                                                               | ✓ | ⏱: 3.78s 
[SCRAPE].. ◆ https://www.schott.com                                                                               | ✓ | ⏱: 0.03s 
[COMPLETE] ● https://www.schott.com                                                                               | ✓ | ⏱: 4.48s 
[FETCH]... ↓ https://www.schott.com/en-gb/about-us/company/our-purpose                                            | ✓ | ⏱: 3.71s 
[SCRAPE].. ◆ https://www.schott.com/en-gb/about-us/company/our-purpose                                            | ✓ | ⏱: 0.03s 
[COMPLETE] ● https://www.schott.com/en-gb/about-us/company/our-purpose                                            | ✓ | ⏱: 4.26s 
[FETCH]... ↓ https://www.schott.com/en-gb/about-us/certifications-and-compliance-document-search                  | ✓ | ⏱: 3.75s 
[SCRAPE].. ◆ https://www.schott.com/en-gb/about-us/certifications-and-compliance-document-search                  | ✓ | ⏱: 0.03s 
[COMPLETE] ● https://www.schott.com/en-gb/about-us/certifications-and-compliance-document-search                  | ✓ | ⏱: 4.29s 
[FETCH]... ↓ https://www.schott.com/en-gb/about-us/company/management/andrea-frenzel                              | ✓ | ⏱: 5.27s 
[SCRAPE].. ◆ https://www.schott.com/en-gb/about-us/company/management/andrea-frenzel                              | ✓ | ⏱: 0.03s 
[COMPLETE] ● https://www.schott.com/en-gb/about-us/company/management/andrea-frenzel                              | ✓ | ⏱: 5.81s 
[FETCH]... ↓ https://www.schott.com/en-gb/about-us/company/regions-and-locations/lukacshaza                       | ✓ | ⏱: 1.54s 
[SCRAPE].. ◆ https://www.schott.com/en-gb/about-us/company/regions-and-locations/lukacshaza                       | ✓ | ⏱: 0.03s 
[COMPLETE] ● https://www.schott.com/en-gb/about-us/company/regions-and-locations/lukacshaza                       | ✓ | ⏱: 1.58s 
[FETCH]... ↓ https://www.schott.com/en-gb/about-us/company/regions-and-locations/mumbai                           | ✓ | ⏱: 1.59s 
[SCRAPE].. ◆ https://www.schott.com/en-gb/about-us/company/regions-and-locations/mumbai                           | ✓ | ⏱: 0.03s 
[COMPLETE] ● https://www.schott.com/en-gb/about-us/company/regions-and-locations/mumbai                           | ✓ | ⏱: 1.63s 
[FETCH]... ↓ https://www.schott.com/en-gb/about-us/company/regions-and-locations/rye-brook-ny                     | ✓ | ⏱: 0.99s 
[SCRAPE].. ◆ https://www.schott.com/en-gb/about-us/company/regions-and-locations/rye-brook-ny                     | ✓ | ⏱: 0.03s 
[COMPLETE] ● https://www.schott.com/en-gb/about-us/company/regions-and-locations/rye-brook-ny                     | ✓ | ⏱: 1.03s 
