[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://ceelegalmatters.com/slovenia/19441-karme...advises-nlb-on-eur-230-million-loan-to-sij-group  | ✓ | ⏱: 1.46s 
[SCRAPE].. ◆ https://ceelegalmatters.com/slovenia/19441-karme...advises-nlb-on-eur-230-million-loan-to-sij-group  | ✓ | ⏱: 0.00s 
[ERROR]... × https://ceelegalmatters...llion-loan-to-sij-group  | Error: Blocked by anti-bot protection: Cloudflare JS challenge 
[COMPLETE] ● https://ceelegalmatters.com/slovenia/19441-karme...advises-nlb-on-eur-230-million-loan-to-sij-group  | ✗ | ⏱: 2.58s 
[FETCH]... ↓ https://www.sij-americas.com                                                                         | ✓ | ⏱: 1.88s 
[SCRAPE].. ◆ https://www.sij-americas.com                                                                         | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.sij-americas.com                                                                         | ✓ | ⏱: 2.37s 
[FETCH]... ↓ https://www.sij-americas.com/en/about                                                                | ✓ | ⏱: 1.19s 
[SCRAPE].. ◆ https://www.sij-americas.com/en/about                                                                | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.sij-americas.com/en/about                                                                | ✓ | ⏱: 1.21s 
[FETCH]... ↓ https://www.sij-americas.com/en/contacts                                                             | ✓ | ⏱: 0.94s 
[SCRAPE].. ◆ https://www.sij-americas.com/en/contacts                                                             | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.sij-americas.com/en/contacts                                                             | ✓ | ⏱: 0.95s 
[FETCH]... ↓ https://www.ravnesystems.com/en/news/sij-group-received-the-te-award                                 | ✓ | ⏱: 3.65s 
[SCRAPE].. ◆ https://www.ravnesystems.com/en/news/sij-group-received-the-te-award                                 | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.ravnesystems.com/en/news/sij-group-received-the-te-award                                 | ✓ | ⏱: 4.62s 
[FETCH]... ↓ https://www.sij-americas.com/en/leadership                                                           | ✓ | ⏱: 0.90s 
[SCRAPE].. ◆ https://www.sij-americas.com/en/leadership                                                           | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.sij-americas.com/en/leadership                                                           | ✓ | ⏱: 0.91s 
[FETCH]... ↓ https://www.sij-americas.com/en/locations-contact                                                    | ✓ | ⏱: 1.03s 
[SCRAPE].. ◆ https://www.sij-americas.com/en/locations-contact                                                    | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.sij-americas.com/en/locations-contact                                                    | ✓ | ⏱: 1.04s 
[FETCH]... ↓ https://www.sij-americas.com/en/news-events                                                          | ✓ | ⏱: 1.03s 
