[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://apceram.com/en/industria_alambre.html                                                        | ✓ | ⏱: 8.35s 
[SCRAPE].. ◆ https://apceram.com/en/industria_alambre.html                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://apceram.com/en/industria_alambre.html                                                        | ✓ | ⏱: 10.37s 
[FETCH]... ↓ https://apceram.com/en/politica_calidad.html                                                         | ✓ | ⏱: 8.37s 
[SCRAPE].. ◆ https://apceram.com/en/politica_calidad.html                                                         | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://apceram.com/en/politica_calidad.html                                                         | ✓ | ⏱: 10.38s 
[FETCH]... ↓ https://apceram.com/en/alta_temperatura.html                                                         | ✓ | ⏱: 8.71s 
[SCRAPE].. ◆ https://apceram.com/en/alta_temperatura.html                                                         | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://apceram.com/en/alta_temperatura.html                                                         | ✓ | ⏱: 10.72s 
[FETCH]... ↓ https://apceram.com/en/carburo_silicio.html                                                          | ✓ | ⏱: 8.37s 
[SCRAPE].. ◆ https://apceram.com/en/carburo_silicio.html                                                          | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://apceram.com/en/carburo_silicio.html                                                          | ✓ | ⏱: 10.39s 
[FETCH]... ↓ https://rocketreach.co/steelceram-sl-profile_b7c2b774c1815aca                                        | ✓ | ⏱: 1.08s 
[SCRAPE].. ◆ https://rocketreach.co/steelceram-sl-profile_b7c2b774c1815aca                                        | ✓ | ⏱: 0.00s 
[ERROR]... × https://rocketreach.co/...rofile_b7c2b774c1815aca  | Error: Blocked by anti-bot protection: Cloudflare JS challenge 
[COMPLETE] ● https://rocketreach.co/steelceram-sl-profile_b7c2b774c1815aca                                        | ✗ | ⏱: 1.09s 
[FETCH]... ↓ https://www.apceram.com/en/contacto_ubicacion.html                                                   | ✓ | ⏱: 4.83s 
[SCRAPE].. ◆ https://www.apceram.com/en/contacto_ubicacion.html                                                   | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://www.apceram.com/en/contacto_ubicacion.html                                                   | ✓ | ⏱: 6.85s 
[FETCH]... ↓ https://www.apceram.com/en/empleo.html                                                               | ✓ | ⏱: 4.84s 
[SCRAPE].. ◆ https://www.apceram.com/en/empleo.html                                                               | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://www.apceram.com/en/empleo.html                                                               | ✓ | ⏱: 6.85s 
[FETCH]... ↓ https://www.apceram.com/en/materiales.html                                                           | ✓ | ⏱: 3.90s 
[SCRAPE].. ◆ https://www.apceram.com/en/materiales.html                                                           | ✓ | ⏱: 0.00s 
