[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://tecnicerceramica.com.br/contato/                                                             | ✓ | ⏱: 4.09s 
[SCRAPE].. ◆ https://tecnicerceramica.com.br/contato/                                                             | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://tecnicerceramica.com.br/contato/                                                             | ✓ | ⏱: 5.51s 
[FETCH]... ↓ https://tecnicerceramica.com.br                                                                      | ✓ | ⏱: 4.13s 
[SCRAPE].. ◆ https://tecnicerceramica.com.br                                                                      | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://tecnicerceramica.com.br                                                                      | ✓ | ⏱: 5.81s 
[FETCH]... ↓ https://tecnicerceramica.com.br/conheca-a-tecnicer/                                                  | ✓ | ⏱: 4.06s 
[SCRAPE].. ◆ https://tecnicerceramica.com.br/conheca-a-tecnicer/                                                  | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://tecnicerceramica.com.br/conheca-a-tecnicer/                                                  | ✓ | ⏱: 5.70s 
[FETCH]... ↓ https://tecnicerceramica.com.br/category/ceramica                                                    | ✓ | ⏱: 4.47s 
[SCRAPE].. ◆ https://tecnicerceramica.com.br/category/ceramica                                                    | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://tecnicerceramica.com.br/category/ceramica                                                    | ✓ | ⏱: 6.09s 
[FETCH]... ↓ https://tecnicerceramica.com.br/ive-is-leading-apples-design-team/                                   | ✓ | ⏱: 0.74s 
[SCRAPE].. ◆ https://tecnicerceramica.com.br/ive-is-leading-apples-design-team/                                   | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://tecnicerceramica.com.br/ive-is-leading-apples-design-team/                                   | ✓ | ⏱: 1.80s 
[FETCH]... ↓ https://tecnicerceramica.com.br/services/alta-alumina/                                               | ✓ | ⏱: 0.73s 
[SCRAPE].. ◆ https://tecnicerceramica.com.br/services/alta-alumina/                                               | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://tecnicerceramica.com.br/services/alta-alumina/                                               | ✓ | ⏱: 1.78s 
[FETCH]... ↓ https://tecnicerceramica.com.br/room-tells-you-when-its-time-to-get-off                              | ✓ | ⏱: 1.29s 
[SCRAPE].. ◆ https://tecnicerceramica.com.br/room-tells-you-when-its-time-to-get-off                              | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://tecnicerceramica.com.br/room-tells-you-when-its-time-to-get-off                              | ✓ | ⏱: 2.58s 
[FETCH]... ↓ https://tecnicerceramica.com.br/services/materiais/                                                  | ✓ | ⏱: 0.72s 
[SCRAPE].. ◆ https://tecnicerceramica.com.br/services/materiais/                                                  | ✓ | ⏱: 0.01s 
