[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://www.wexi.sk/English-version/Assortment/Aluminium-Cut-Wire                                    | ✓ | ⏱: 1.21s 
[SCRAPE].. ◆ https://www.wexi.sk/English-version/Assortment/Aluminium-Cut-Wire                                    | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://www.wexi.sk/English-version/Assortment/Aluminium-Cut-Wire                                    | ✓ | ⏱: 1.89s 
[FETCH]... ↓ https://www.wexi.sk/English-version/Assortment/Cast-stainless-steel-angular-Cr-grit                  | ✓ | ⏱: 1.14s 
[SCRAPE].. ◆ https://www.wexi.sk/English-version/Assortment/Cast-stainless-steel-angular-Cr-grit                  | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://www.wexi.sk/English-version/Assortment/Cast-stainless-steel-angular-Cr-grit                  | ✓ | ⏱: 1.89s 
[FETCH]... ↓ https://www.wexi.sk/English-version/Assortment/Chilled-cast-iron-angular                             | ✓ | ⏱: 0.56s 
[SCRAPE].. ◆ https://www.wexi.sk/English-version/Assortment/Chilled-cast-iron-angular                             | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://www.wexi.sk/English-version/Assortment/Chilled-cast-iron-angular                             | ✓ | ⏱: 0.56s 
[FETCH]... ↓ https://www.wexi.sk/English-version/Assortment/Corn-cob-grit                                         | ✓ | ⏱: 0.59s 
[SCRAPE].. ◆ https://www.wexi.sk/English-version/Assortment/Corn-cob-grit                                         | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://www.wexi.sk/English-version/Assortment/Corn-cob-grit                                         | ✓ | ⏱: 0.60s 
[FETCH]... ↓ https://www.wexi.sk/English-version/About-us/                                                        | ✓ | ⏱: 2.75s 
[SCRAPE].. ◆ https://www.wexi.sk/English-version/About-us/                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.wexi.sk/English-version/About-us/                                                        | ✓ | ⏱: 3.56s 
[FETCH]... ↓ https://www.wexi.sk/English-version/Assortment/Mixed-Alumina/                                        | ✓ | ⏱: 0.96s 
[SCRAPE].. ◆ https://www.wexi.sk/English-version/Assortment/Mixed-Alumina/                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.wexi.sk/English-version/Assortment/Mixed-Alumina/                                        | ✓ | ⏱: 0.98s 
[FETCH]... ↓ https://www.wexi.sk/English-version/Assortment/Silicon-carbide/                                      | ✓ | ⏱: 0.77s 
[SCRAPE].. ◆ https://www.wexi.sk/English-version/Assortment/Silicon-carbide/                                      | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.wexi.sk/English-version/Assortment/Silicon-carbide/                                      | ✓ | ⏱: 0.79s 
[FETCH]... ↓ https://www.wexi.sk/English-version/Assortment/Soda                                                  | ✓ | ⏱: 0.66s 
[SCRAPE].. ◆ https://www.wexi.sk/English-version/Assortment/Soda                                                  | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://www.wexi.sk/English-version/Assortment/Soda                                                  | ✓ | ⏱: 0.66s 
[FETCH]... ↓ https://www.wexi.sk/English-version/Contact                                                          | ✓ | ⏱: 0.64s 
[SCRAPE].. ◆ https://www.wexi.sk/English-version/Contact                                                          | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://www.wexi.sk/English-version/Contact                                                          | ✓ | ⏱: 0.64s 
[FETCH]... ↓ https://wexi.sk                                                                                      | ✓ | ⏱: 2.50s 
[SCRAPE].. ◆ https://wexi.sk                                                                                      | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://wexi.sk                                                                                      | ✓ | ⏱: 4.50s 
[FETCH]... ↓ https://www.wexi.sk/English-version/Home/                                                            | ✓ | ⏱: 0.77s 
[SCRAPE].. ◆ https://www.wexi.sk/English-version/Home/                                                            | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.wexi.sk/English-version/Home/                                                            | ✓ | ⏱: 0.80s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://www.wexi.sk/English-version/About-us/Personal-data-processing/                               | ✓ | ⏱: 2.41s 
[SCRAPE].. ◆ https://www.wexi.sk/English-version/About-us/Personal-data-processing/                               | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.wexi.sk/English-version/About-us/Personal-data-processing/                               | ✓ | ⏱: 2.43s 
[FETCH]... ↓ https://www.wexi.sk/English-version/About-us/Cookies/                                                | ✓ | ⏱: 2.63s 
[SCRAPE].. ◆ https://www.wexi.sk/English-version/About-us/Cookies/                                                | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.wexi.sk/English-version/About-us/Cookies/                                                | ✓ | ⏱: 2.64s 
[FETCH]... ↓ https://www.wexi.sk/English-version/About-us/Privacy-policy/                                         | ✓ | ⏱: 2.44s 
[SCRAPE].. ◆ https://www.wexi.sk/English-version/About-us/Privacy-policy/                                         | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.wexi.sk/English-version/About-us/Privacy-policy/                                         | ✓ | ⏱: 2.46s 
/Users/acelerzbw/Documents/Codex/2026-08-13/crm-twenty-postgresql/key-person-discovery/outputs/batch-20260815/wexi-s-r-o-1761f438ca97.json
