[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://www.kilns.co.uk                                                                              | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.kilns.co.uk                                                                              | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.kilns.co.uk/brazing-furnaces                                                             | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.kilns.co.uk/brazing-furnaces                                                             | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.kilns.co.uk/contact-us                                                                   | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.kilns.co.uk/contact-us                                                                   | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.kilns.co.uk/kiln-refurbishment                                                           | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://www.kilns.co.uk/kiln-refurbishment                                                           | ✓ | ⏱: 0.02s 
[FETCH]... ↓ https://www.kilns.co.uk/about-us                                                                     | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://www.kilns.co.uk/about-us                                                                     | ✓ | ⏱: 0.02s 
[FETCH]... ↓ https://www.kilns.co.uk/kilns/thermocouples                                                          | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.kilns.co.uk/kilns/thermocouples                                                          | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.kilns.co.uk/kilns/kg-35-staffordshire-wheel                                              | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://www.kilns.co.uk/kilns/kg-35-staffordshire-wheel                                              | ✓ | ⏱: 0.02s 
[FETCH]... ↓ https://www.kilns.co.uk/kilns/sintering                                                              | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://www.kilns.co.uk/kilns/sintering                                                              | ✓ | ⏱: 0.02s 
[FETCH]... ↓ https://www.kilns.co.uk/news                                                                         | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.kilns.co.uk/news                                                                         | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.kilns.co.uk/materials-testing-furnaces                                                   | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.kilns.co.uk/materials-testing-furnaces                                                   | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.kilns.co.uk/news/elevate-your-educational-programs-with-our-kilns-and-furnaces           | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.kilns.co.uk/news/elevate-your-educational-programs-with-our-kilns-and-furnaces           | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.kilns.co.uk/news/education-kilns-buying-guide                                            | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.kilns.co.uk/news/education-kilns-buying-guide                                            | ✓ | ⏱: 0.01s 
