[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://coverings2024.smallworldlabs.com/co/elizabeth-revestimentos                                  | ✓ | ⏱: 6.90s 
[SCRAPE].. ◆ https://coverings2024.smallworldlabs.com/co/elizabeth-revestimentos                                  | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://coverings2024.smallworldlabs.com/co/elizabeth-revestimentos                                  | ✓ | ⏱: 8.96s 
[FETCH]... ↓ https://elizabethrevestimentos.com.br                                                                | ✓ | ⏱: 8.54s 
[SCRAPE].. ◆ https://elizabethrevestimentos.com.br                                                                | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://elizabethrevestimentos.com.br                                                                | ✓ | ⏱: 9.74s 
[FETCH]... ↓ https://elizabethrevestimentos.com.br/contato/                                                       | ✓ | ⏱: 8.46s 
[SCRAPE].. ◆ https://elizabethrevestimentos.com.br/contato/                                                       | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://elizabethrevestimentos.com.br/contato/                                                       | ✓ | ⏱: 9.61s 
[FETCH]... ↓ https://elizabethrevestimentos.com.br/compliance/                                                    | ✓ | ⏱: 8.49s 
[SCRAPE].. ◆ https://elizabethrevestimentos.com.br/compliance/                                                    | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://elizabethrevestimentos.com.br/compliance/                                                    | ✓ | ⏱: 9.64s 
[FETCH]... ↓ https://elizabethrevestimentos.com.br/politica-de-privacidade/                                       | ✓ | ⏱: 1.37s 
[SCRAPE].. ◆ https://elizabethrevestimentos.com.br/politica-de-privacidade/                                       | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://elizabethrevestimentos.com.br/politica-de-privacidade/                                       | ✓ | ⏱: 1.41s 
[FETCH]... ↓ https://elizabethrevestimentos.com.br/en/                                                            | ✓ | ⏱: 3.10s 
[SCRAPE].. ◆ https://elizabethrevestimentos.com.br/en/                                                            | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://elizabethrevestimentos.com.br/en/                                                            | ✓ | ⏱: 3.14s 
[FETCH]... ↓ https://elizabethrevestimentos.com.br/en/product/elizabeth-granitti-panna-tecn-nat-70x70cm/          | ✓ | ⏱: 3.45s 
[SCRAPE].. ◆ https://elizabethrevestimentos.com.br/en/product/elizabeth-granitti-panna-tecn-nat-70x70cm/          | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://elizabethrevestimentos.com.br/en/product/elizabeth-granitti-panna-tecn-nat-70x70cm/          | ✓ | ⏱: 3.48s 
[FETCH]... ↓ https://latinlawyer.com/organisations/elizabeth-revestimentos                                        | ✓ | ⏱: 7.14s 
[SCRAPE].. ◆ https://latinlawyer.com/organisations/elizabeth-revestimentos                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://latinlawyer.com/organisations/elizabeth-revestimentos                                        | ✓ | ⏱: 9.00s 
[FETCH]... ↓ https://www.facebook.com/elizabethrevestimentos/                                                     | ✓ | ⏱: 3.57s 
[SCRAPE].. ◆ https://www.facebook.com/elizabethrevestimentos/                                                     | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.facebook.com/elizabethrevestimentos/                                                     | ✓ | ⏱: 5.60s 
[FETCH]... ↓ https://www.cbinsights.com/company/elizabeth-revestimentos                                           | ✓ | ⏱: 6.93s 
[SCRAPE].. ◆ https://www.cbinsights.com/company/elizabeth-revestimentos                                           | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.cbinsights.com/company/elizabeth-revestimentos                                           | ✓ | ⏱: 7.56s 
[FETCH]... ↓ https://village.ai/company/elizabethrevestimentos                                                    | ✓ | ⏱: 7.18s 
[SCRAPE].. ◆ https://village.ai/company/elizabethrevestimentos                                                    | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://village.ai/company/elizabethrevestimentos                                                    | ✓ | ⏱: 8.49s 
[INIT].... → Crawl4AI 0.9.2 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://elizabethrevestimentos.com.br/sobre-nos/                                                     | ✓ | ⏱: 3.70s 
[SCRAPE].. ◆ https://elizabethrevestimentos.com.br/sobre-nos/                                                     | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://elizabethrevestimentos.com.br/sobre-nos/                                                     | ✓ | ⏱: 3.74s 
[FETCH]... ↓ https://elizabethrevestimentos.com.br/en/contact/                                                    | ✓ | ⏱: 3.73s 
[SCRAPE].. ◆ https://elizabethrevestimentos.com.br/en/contact/                                                    | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://elizabethrevestimentos.com.br/en/contact/                                                    | ✓ | ⏱: 3.77s 
[FETCH]... ↓ https://elizabethrevestimentos.com.br/en/about/                                                      | ✓ | ⏱: 4.77s 
[SCRAPE].. ◆ https://elizabethrevestimentos.com.br/en/about/                                                      | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://elizabethrevestimentos.com.br/en/about/                                                      | ✓ | ⏱: 4.80s 
/Users/acelerzbw/Documents/Codex/2026-08-13/crm-twenty-postgresql/key-person-discovery/outputs/batch-20260817/elizabeth-revestimentos-0bb580239bf4.json
