[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://porcelain.work                                                                               | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://porcelain.work                                                                               | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://porcelain.work/contact/                                                                      | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://porcelain.work/contact/                                                                      | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://porcelain.work/com_gaiyo                                                                     | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://porcelain.work/com_gaiyo                                                                     | ✓ | ⏱: 0.02s 
[FETCH]... ↓ https://www.dnb.com/business-directory/company-p...terial_ltd.10e2d3cf299188c7c2d356588a8a3fc9.html  | ✓ | ⏱: 2.99s 
[SCRAPE].. ◆ https://www.dnb.com/business-directory/company-p...terial_ltd.10e2d3cf299188c7c2d356588a8a3fc9.html  | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.dnb.com/business-directory/company-p...terial_ltd.10e2d3cf299188c7c2d356588a8a3fc9.html  | ✓ | ⏱: 3.01s 
[FETCH]... ↓ https://porcelain.work/blog                                                                          | ✓ | ⏱: 3.80s 
[SCRAPE].. ◆ https://porcelain.work/blog                                                                          | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://porcelain.work/blog                                                                          | ✓ | ⏱: 3.84s 
[FETCH]... ↓ https://porcelain.work/faq                                                                           | ✓ | ⏱: 4.20s 
[SCRAPE].. ◆ https://porcelain.work/faq                                                                           | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://porcelain.work/faq                                                                           | ✓ | ⏱: 4.24s 
[FETCH]... ↓ https://porcelain.work/toudo                                                                         | ✓ | ⏱: 3.88s 
[SCRAPE].. ◆ https://porcelain.work/toudo                                                                         | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://porcelain.work/toudo                                                                         | ✓ | ⏱: 3.91s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://porcelain.work/hp01/wp-content/uploads/2019/08/staff11_new.png                               | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://porcelain.work/hp01/wp-content/uploads/2019/08/staff11_new.png                               | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://porcelain.work/hp01/wp-content/uploads/2019/08/staff1_photo3.jpg                             | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://porcelain.work/hp01/wp-content/uploads/2019/08/staff1_photo3.jpg                             | ✓ | ⏱: 0.00s 
[FETCH]... ↓ https://porcelain.work/hp01/wp-content/uploads/2019/08/staff1_photo2.jpg                             | ✓ | ⏱: 0.01s 
