[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://sic-lime.com/fr/news-fr/articolo-1/                                                          | ✓ | ⏱: 2.70s 
[SCRAPE].. ◆ https://sic-lime.com/fr/news-fr/articolo-1/                                                          | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://sic-lime.com/fr/news-fr/articolo-1/                                                          | ✓ | ⏱: 3.78s 
[FETCH]... ↓ https://sic-lime.com/it/news/articolo-1/                                                             | ✓ | ⏱: 2.76s 
[SCRAPE].. ◆ https://sic-lime.com/it/news/articolo-1/                                                             | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://sic-lime.com/it/news/articolo-1/                                                             | ✓ | ⏱: 3.50s 
[FETCH]... ↓ https://sic-lime.com/fr/news-fr/articolo-2/                                                          | ✓ | ⏱: 2.61s 
[SCRAPE].. ◆ https://sic-lime.com/fr/news-fr/articolo-2/                                                          | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://sic-lime.com/fr/news-fr/articolo-2/                                                          | ✓ | ⏱: 3.51s 
[FETCH]... ↓ https://sic-lime.com/it/news/articolo-2/                                                             | ✓ | ⏱: 2.58s 
[SCRAPE].. ◆ https://sic-lime.com/it/news/articolo-2/                                                             | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://sic-lime.com/it/news/articolo-2/                                                             | ✓ | ⏱: 3.53s 
[FETCH]... ↓ https://sic-lime.com/it/news/articolo-3/                                                             | ✓ | ⏱: 0.56s 
[SCRAPE].. ◆ https://sic-lime.com/it/news/articolo-3/                                                             | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://sic-lime.com/it/news/articolo-3/                                                             | ✓ | ⏱: 0.58s 
[FETCH]... ↓ https://sic-lime.com/it/news/articolo-5/                                                             | ✓ | ⏱: 0.67s 
[SCRAPE].. ◆ https://sic-lime.com/it/news/articolo-5/                                                             | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://sic-lime.com/it/news/articolo-5/                                                             | ✓ | ⏱: 0.70s 
[FETCH]... ↓ https://sic-lime.com/it/news/articolo-6/                                                             | ✓ | ⏱: 0.69s 
[SCRAPE].. ◆ https://sic-lime.com/it/news/articolo-6/                                                             | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://sic-lime.com/it/news/articolo-6/                                                             | ✓ | ⏱: 0.71s 
[FETCH]... ↓ https://sic-lime.com/it/news/articolo-4/                                                             | ✓ | ⏱: 0.71s 
[SCRAPE].. ◆ https://sic-lime.com/it/news/articolo-4/                                                             | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://sic-lime.com/it/news/articolo-4/                                                             | ✓ | ⏱: 0.73s 
