[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://heatmasters.net                                                                              | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://heatmasters.net                                                                              | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://heatmasters.net/news/heat-treatment-serv...-hardness-testing-at-an-oil-refinery-in-germany/  | ✓ | ⏱: 4.32s 
[SCRAPE].. ◆ https://heatmasters.net/news/heat-treatment-serv...-hardness-testing-at-an-oil-refinery-in-germany/  | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://heatmasters.net/news/heat-treatment-serv...-hardness-testing-at-an-oil-refinery-in-germany/  | ✓ | ⏱: 6.35s 
[FETCH]... ↓ https://heatmasters.net/news/commissioning-of-a-gas-fired-furnace-in-saudi-arabia/                   | ✓ | ⏱: 5.13s 
[SCRAPE].. ◆ https://heatmasters.net/news/commissioning-of-a-gas-fired-furnace-in-saudi-arabia/                   | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://heatmasters.net/news/commissioning-of-a-gas-fired-furnace-in-saudi-arabia/                   | ✓ | ⏱: 7.15s 
[FETCH]... ↓ https://heatmasters.net/news/electrical-heat-treatment-furnace-delivered-to-a-foundry-in-europe/     | ✓ | ⏱: 5.14s 
[SCRAPE].. ◆ https://heatmasters.net/news/electrical-heat-treatment-furnace-delivered-to-a-foundry-in-europe/     | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://heatmasters.net/news/electrical-heat-treatment-furnace-delivered-to-a-foundry-in-europe/     | ✓ | ⏱: 7.16s 
[FETCH]... ↓ https://heatmasters.net/bez-kategorii/sign-up-for-our-newsletter/                                    | ✓ | ⏱: 5.15s 
[SCRAPE].. ◆ https://heatmasters.net/bez-kategorii/sign-up-for-our-newsletter/                                    | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://heatmasters.net/bez-kategorii/sign-up-for-our-newsletter/                                    | ✓ | ⏱: 7.18s 
[FETCH]... ↓ https://heatmasters.net/news/heat-treatment-services-at-the-montes-del-plata-mill-in-uruguay/        | ✓ | ⏱: 3.84s 
[SCRAPE].. ◆ https://heatmasters.net/news/heat-treatment-services-at-the-montes-del-plata-mill-in-uruguay/        | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://heatmasters.net/news/heat-treatment-services-at-the-montes-del-plata-mill-in-uruguay/        | ✓ | ⏱: 5.85s 
[FETCH]... ↓ https://heatmasters.net/news/heatmasters-strengt...ment-furnace-segment-by-acquiring-temptec-oy-ab/  | ✓ | ⏱: 3.90s 
